Predio;I.D. Faena;N° Orden;Cultivo;Fecha;Codigo Producto;Nombre Producto;Ing Activo;N° Autorización SAG;Tratamiento;Cantidad;U. Med.;Moja. Lts x Ha;Tipo Dosis;Dosis;Ha. Aplica;T.Cantidad Ha. Aplica;R.Aplica Calculado;Real Aplicado;Cobertura;N° Aplica Periodo.;Nº aplica etiqueta;Clasifica;Cod Cuartel;Cuartel / Potrero;Total Ha.;Fecha Inicio Aplica;Hr. Inicio;Fecha Term. Aplica;Hr. Término;Hr. Reingre;Carencia;Dias Carencias PPPL;Plazo Seguridad;Concentración;Adjunto Productos;Estado;Faena;Labor;Clima;Viento;Temp.;Responsable (Aplicaciones);Dosificador (Aplicaciones);Verificador Técnico (Aplicaciones);Aplicador;Aplicador 2;Observaciones;Usuario Login;Total Producto;Maquinarias;Total Maqui;Maq Cod/GPS;Tot.Maq c/GPS;Tot Orden Aplica;Cantidad Periodo;Tipo Envase;Cantidad Envases;N° Lote Envase
El espejo;82.671;1637;Gral;8/4/2026;p-206;SANOSIL;;;;0,138;Kilos;0;Hectareas;0;0,41;0;0;0;Total;3;0;EEIII;;sector 5;0,41;8/4/2026;;8/4/2026;;0;0;0;9/4/2026;;;Confirmada;APLICACIONES;AF-DRON;;;0;;;;;;;tomas;$ 2,00;;0;;0;3;0,485;;0;
El espejo;82.672;1637;Gral;8/4/2026;p-206;SANOSIL;;;;0,278;Kilos;0;Hectareas;0;0,82;0;0;0;Total;3;0;EEIII;;sector 6;0,82;8/4/2026;;8/4/2026;;0;0;0;9/4/2026;;;Confirmada;APLICACIONES;AF-DRON;;;0;;;;;;;tomas;$ 4,40;;0;;0;3;0,974;;0;
El espejo;82.673;1637;Gral;8/4/2026;p-206;SANOSIL;;;;0,27;Kilos;0;Hectareas;0;0,8;0;0;0;Total;3;0;EEIII;;sector 7;0,8;8/4/2026;;8/4/2026;;0;0;0;9/4/2026;;;Confirmada;APLICACIONES;AF-DRON;;;0;;;;;;;tomas;$ 4,00;;0;;0;3;0,949;;0;
El espejo;82.674;1637;Gral;8/4/2026;p-206;SANOSIL;;;;0,114;Kilos;0;Hectareas;0;0,34;0;0;0;Total;3;0;EEIII;;sector 8;0,34;8/4/2026;;8/4/2026;;0;0;0;9/4/2026;;;Confirmada;APLICACIONES;AF-DRON;;;0;;;;;;;tomas;$ 2,00;;0;;0;3;0,402;;0;
El espejo;82.511;1628;Gral;5/3/2026;p-206;SANOSIL;;;;0,169;Kilos;0;Hectareas;0;0,37;0;0;0;Total;2;0;EEIII;;sector 10;0,37;5/3/2026;;5/3/2026;;0;0;0;6/3/2026;;;Confirmada;APLICACIONES;AF-DRON;;;0;;;;;;;tomas;$ 3,00;;0;;0;2;0,314;;0;
El espejo;82.512;1628;Gral;5/3/2026;p-206;SANOSIL;;;;0,471;Kilos;0;Hectareas;0;1,03;0;0;0;Total;2;0;EEIII;;sector 11;1,03;5/3/2026;;5/3/2026;;0;0;0;6/3/2026;;;Confirmada;APLICACIONES;AF-DRON;;;0;;;;;;;tomas;$ 7,00;;0;;0;2;0,874;;0;
El espejo;82.513;1628;Gral;5/3/2026;p-206;SANOSIL;;;;0,141;Kilos;0;Hectareas;0;0,31;0;0;0;Total;2;0;EEIII;;sector 12;0,31;5/3/2026;;5/3/2026;;0;0;0;6/3/2026;;;Confirmada;APLICACIONES;AF-DRON;;;0;;;;;;;tomas;$ 2,00;;0;;0;2;0,262;;0;
El espejo;82.514;1628;Gral;5/3/2026;p-206;SANOSIL;;;;0,187;Kilos;0;Hectareas;0;0,41;0;0;0;Total;2;0;EEIII;;sector 13;0,41;5/3/2026;;5/3/2026;;0;0;0;6/3/2026;;;Confirmada;APLICACIONES;AF-DRON;;;0;;;;;;;tomas;$ 3,00;;0;;0;2;0,347;;0;
El espejo;82.515;1628;Gral;5/3/2026;p-206;SANOSIL;;;;0,178;Kilos;0;Hectareas;0;0,39;0;0;0;Total;2;0;EEIII;;sector 14;0,39;5/3/2026;;5/3/2026;;0;0;0;6/3/2026;;;Confirmada;APLICACIONES;AF-DRON;;;0;;;;;;;tomas;$ 3,00;;0;;0;2;0,33;;0;
El espejo;82.516;1628;Gral;5/3/2026;p-206;SANOSIL;;;;0,187;Kilos;0;Hectareas;0;0,41;0;0;0;Total;2;0;EEIII;;sector 5;0,41;5/3/2026;;5/3/2026;;0;0;0;6/3/2026;;;Confirmada;APLICACIONES;AF-DRON;;;0;;;;;;;tomas;$ 3,00;;0;;0;2;0,347;;0;
