"I.D. Faena";"N° Orden";"Fecha";"Clasifica";"Código";"Cuartel/Potrero";"Cultivo";"Variedad";"Faena";"Labor";"Total Faena";"Realizada";"Total Jornadas";"Trabajador";"Usuario Login";"Usuario";"Est.Fenologico";"Forma Pago";"Estado Faena"
"80.887";"1550";"14-03-2026";"EEII";"EEII 1";"4 - Ha:5.540, Pl:12052";"Uva";"Selma";"APLICACIONES";"FERTILIZACION";"$ 275,6";"";"0,00";"";"tomas";"";"Cosecha/Postcosecha";"Día Lab.";"Confirmada"
"80.886";"1550";"14-03-2026";"EEII";"EEII 1";"3 - Ha:5.540, Pl:12052";"Uva";"Selma";"APLICACIONES";"FERTILIZACION";"$ 275,0";"";"0,00";"";"tomas";"";"Cosecha/Postcosecha";"Día Lab.";"Confirmada"
"80.885";"1550";"14-03-2026";"EEII";"EEII 1";"2 - Ha:5.540, Pl:12052";"Uva";"Selma";"APLICACIONES";"FERTILIZACION";"$ 275,0";"";"0,00";"";"tomas";"";"Cosecha/Postcosecha";"Día Lab.";"Confirmada"
"80.884";"1550";"14-03-2026";"EEII";"EEII 2";"17 - Ha:3.430, Pl:7544";"Uva";"Fiesta";"APLICACIONES";"FERTILIZACION";"$ 170,0";"";"0,00";"";"tomas";"";"Cosecha/Postcosecha";"Día Lab.";"Confirmada"
"80.883";"1550";"14-03-2026";"EEII";"EEII 2";"16 - Ha:4.900, Pl:8160";"Uva";"Fiesta";"APLICACIONES";"FERTILIZACION";"$ 243,0";"";"0,00";"";"tomas";"";"Cosecha/Postcosecha";"Día Lab.";"Confirmada"
"80.882";"1550";"14-03-2026";"EEII";"EEII 1";"1 - Ha:5.540, Pl:12052";"Uva";"Selma";"APLICACIONES";"FERTILIZACION";"$ 275,0";"";"0,00";"";"tomas";"";"Cosecha/Postcosecha";"Día Lab.";"Confirmada"
"81.085";"81085";"13-03-2026";"EEI";"EEI 2";"14 - Ha:5.110, Pl:8360";"Uva";"Flame";"APLICACIONES";"FERTILIZACION";"$ 143,9";"";"0,00";"";"tomas";"tomas";"Cosecha/Postcosecha";"Día Lab.";"Confirmada"
"81.084";"81084";"13-03-2026";"EEI";"EEI 2";"11 - Ha:4.070, Pl:6647";"Uva";"Flame";"APLICACIONES";"FERTILIZACION";"$ 88,0";"";"0,00";"";"tomas";"tomas";"Cosecha/Postcosecha";"Día Lab.";"Confirmada"
"81.083";"81083";"13-03-2026";"EEI";"EEI 1";"7 - Ha:6.010, Pl:13050";"Uva";"Flame";"APLICACIONES";"FERTILIZACION";"$ 128,5";"";"0,00";"";"tomas";"tomas";"Cosecha/Postcosecha";"Día Lab.";"Confirmada"
"81.082";"81082";"13-03-2026";"EEI";"EEI 1";"4 - Ha:6.310, Pl:13708";"Uva";"Flame";"APLICACIONES";"FERTILIZACION";"$ 186,8";"";"0,00";"";"tomas";"tomas";"Cosecha/Postcosecha";"Día Lab.";"Confirmada"
"81.077";"81077";"13-03-2026";"EEI";"EEI 2";"14 - Ha:5.110, Pl:8360";"Uva";"Flame";"APLICACIONES";"FERTILIZACION";"$ 71,4";"";"0,00";"";"tomas";"tomas";"Cosecha/Postcosecha";"Día Lab.";"Confirmada"
"81.076";"81076";"13-03-2026";"EEI";"EEI 2";"12 - Ha:2.290, Pl:3814";"Uva";"Flame";"APLICACIONES";"FERTILIZACION";"$ 39,2";"";"0,00";"";"tomas";"tomas";"Cosecha/Postcosecha";"Día Lab.";"Confirmada"
"81.075";"81075";"13-03-2026";"EEI";"EEI 2";"11 - Ha:4.070, Pl:6647";"Uva";"Flame";"APLICACIONES";"FERTILIZACION";"$ 30,9";"";"0,00";"";"tomas";"tomas";"Cosecha/Postcosecha";"Día Lab.";"Confirmada"
"81.074";"81074";"13-03-2026";"EEI";"EEI 2";"10 - Ha:1.640, Pl:2685";"Uva";"Flame";"APLICACIONES";"FERTILIZACION";"$ 57,1";"";"0,00";"";"tomas";"tomas";"Cosecha/Postcosecha";"Día Lab.";"Confirmada"
"81.073";"81073";"13-03-2026";"EEI";"EEI 2";"3 - Ha:6.310, Pl:13708";"Uva";"Flame";"APLICACIONES";"FERTILIZACION";"$ 114,2";"";"0,00";"";"tomas";"tomas";"Cosecha/Postcosecha";"Día Lab.";"Confirmada"
"80.875";"1548";"13-03-2026";"EEII";"EEII 1";"8 - Ha:5.540, Pl:12052";"Uva";"Selma";"APLICACIONES";"FERTILIZACION";"$ 275,0";"";"0,00";"";"tomas";"";"Cosecha/Postcosecha";"Día Lab.";"Confirmada"
"80.874";"1548";"13-03-2026";"EEII";"EEII 1";"7 - Ha:5.540, Pl:12052";"Uva";"Selma";"APLICACIONES";"FERTILIZACION";"$ 275,5";"";"0,00";"";"tomas";"";"Cosecha/Postcosecha";"Día Lab.";"Confirmada"
"80.873";"1548";"13-03-2026";"EEII";"EEII 1";"6 - Ha:5.540, Pl:12052";"Uva";"Selma";"APLICACIONES";"FERTILIZACION";"$ 275,0";"";"0,00";"";"tomas";"";"Cosecha/Postcosecha";"Día Lab.";"Confirmada"
"80.872";"1548";"13-03-2026";"EEII";"EEII 1";"5 - Ha:5.540, Pl:12052";"Uva";"Selma";"APLICACIONES";"FERTILIZACION";"$ 275,0";"";"0,00";"";"tomas";"";"Cosecha/Postcosecha";"Día Lab.";"Confirmada"
"80.871";"1548";"13-03-2026";"EEII";"EEII 2";"21 - Ha:3.190, Pl:5211";"Uva";"Fiesta";"APLICACIONES";"FERTILIZACION";"$ 158,0";"";"0,00";"";"tomas";"";"Cosecha/Postcosecha";"Día Lab.";"Confirmada"
"80.870";"1548";"13-03-2026";"EEII";"EEII 2";"19 - Ha:3.590, Pl:5867";"Uva";"Fiesta";"APLICACIONES";"FERTILIZACION";"$ 178,0";"";"0,00";"";"tomas";"";"Cosecha/Postcosecha";"Día Lab.";"Confirmada"
"80.869";"1548";"13-03-2026";"EEII";"EEII 2";"15 - Ha:3.440, Pl:5619";"Uva";"Fiesta";"APLICACIONES";"FERTILIZACION";"$ 171,0";"";"0,00";"";"tomas";"";"Cosecha/Postcosecha";"Día Lab.";"Confirmada"
"80.861";"1546";"13-03-2026";"EEII";"EEII 1";"9 - Ha:5.540, Pl:12052";"Uva";"Flame";"APLICACIONES";"FERTILIZACION";"$ 358,0";"";"0,00";"";"tomas";"";"Cosecha/Postcosecha";"Día Lab.";"Confirmada"
"80.860";"1546";"13-03-2026";"EEII";"EEII 2";"20 - Ha:4.680, Pl:7659";"Uva";"Fiesta";"APLICACIONES";"FERTILIZACION";"$ 303,0";"";"0,00";"";"tomas";"";"Cosecha/Postcosecha";"Día Lab.";"Confirmada"
"80.859";"1546";"13-03-2026";"EEII";"EEII 2";"18 - Ha:2.120, Pl:3460";"Uva";"Fiesta";"APLICACIONES";"FERTILIZACION";"$ 137,0";"";"0,00";"";"tomas";"";"Cosecha/Postcosecha";"Día Lab.";"Confirmada"
"80.858";"1546";"13-03-2026";"EEII";"EEII 2";"14 - Ha:2.280, Pl:3726";"Uva";"Fiesta";"APLICACIONES";"FERTILIZACION";"$ 147,0";"";"0,00";"";"tomas";"";"Cosecha/Postcosecha";"Día Lab.";"Confirmada"
"80.857";"1546";"13-03-2026";"EEII";"EEII 1";"12 - Ha:5.540, Pl:12052";"Uva";"Flame";"APLICACIONES";"FERTILIZACION";"$ 359,6";"";"0,00";"";"tomas";"";"Cosecha/Postcosecha";"Día Lab.";"Confirmada"
"80.856";"1546";"13-03-2026";"EEII";"EEII 1";"11 - Ha:5.540, Pl:12052";"Uva";"Flame";"APLICACIONES";"FERTILIZACION";"$ 358,0";"";"0,00";"";"tomas";"";"Cosecha/Postcosecha";"Día Lab.";"Confirmada"
"80.855";"1546";"13-03-2026";"EEII";"EEII 1";"10 - Ha:5.540, Pl:12052";"Uva";"Flame";"APLICACIONES";"FERTILIZACION";"$ 358,0";"";"0,00";"";"tomas";"";"Cosecha/Postcosecha";"Día Lab.";"Confirmada"
"81.067";"81067";"12-03-2026";"EEI";"EEI 2";"12 - Ha:2.290, Pl:3814";"Uva";"Flame";"APLICACIONES";"FERTILIZACION";"$ 40,4";"";"0,00";"";"tomas";"tomas";"Cosecha/Postcosecha";"Día Lab.";"Confirmada"
"81.066";"81066";"12-03-2026";"EEI";"EEI 2";"11 - Ha:4.070, Pl:6647";"Uva";"Flame";"APLICACIONES";"FERTILIZACION";"$ 47,6";"";"0,00";"";"tomas";"tomas";"Cosecha/Postcosecha";"Día Lab.";"Confirmada"
"81.065";"81065";"12-03-2026";"EEI";"EEI 2";"6 - Ha:2.030, Pl:4418";"Uva";"Flame";"APLICACIONES";"FERTILIZACION";"$ 71,4";"";"0,00";"";"tomas";"tomas";"Cosecha/Postcosecha";"Día Lab.";"Confirmada"
"81.064";"81064";"12-03-2026";"EEI";"EEI 2";"5 - Ha:4.580, Pl:7494";"Uva";"Flame";"APLICACIONES";"FERTILIZACION";"$ 158,2";"";"0,00";"";"tomas";"tomas";"Cosecha/Postcosecha";"Día Lab.";"Confirmada"
"81.063";"81063";"12-03-2026";"EEI";"EEI 2";"3 - Ha:6.310, Pl:13708";"Uva";"Flame";"APLICACIONES";"FERTILIZACION";"$ 103,5";"";"0,00";"";"tomas";"tomas";"Cosecha/Postcosecha";"Día Lab.";"Confirmada"
"81.044";"81044";"12-03-2026";"EEI";"EEI 1";"9 - Ha:6.730, Pl:14642";"Uva";"Flame";"APLICACIONES";"FERTILIZACION";"$ 335,5";"";"0,00";"";"tomas";"tomas";"Cosecha/Postcosecha";"Día Lab.";"Confirmada"
"81.043";"81043";"12-03-2026";"EEI";"EEI 1";"4 - Ha:6.310, Pl:13708";"Uva";"Flame";"APLICACIONES";"FERTILIZACION";"$ 116,6";"";"0,00";"";"tomas";"tomas";"Cosecha/Postcosecha";"Día Lab.";"Confirmada"
"81.042";"81042";"12-03-2026";"EEI";"EEI 1";"2 - Ha:2.850, Pl:6237";"Uva";"Flame";"APLICACIONES";"FERTILIZACION";"$ 70,2";"";"0,00";"";"tomas";"tomas";"Cosecha/Postcosecha";"Día Lab.";"Confirmada"
"81.041";"81041";"12-03-2026";"EEI";"EEI 1";"1 - Ha:3.130, Pl:6808";"Uva";"Flame";"APLICACIONES";"FERTILIZACION";"$ 77,3";"";"0,00";"";"tomas";"tomas";"Cosecha/Postcosecha";"Día Lab.";"Confirmada"
"80.913";"1553";"12-03-2026";"EEIII";"EEIII 4";"47 - Ha:2.830, Pl:4707";"Uva";"Flame";"APLICACIONES";"FERTILIZACION";"$ 141,0";"";"0,00";"";"tomas";"";"Cosecha/Postcosecha";"Día Lab.";"Confirmada"
"80.912";"1553";"12-03-2026";"EEIII";"EEIII 4";"44 - Ha:3.650, Pl:6089";"Uva";"Flame";"APLICACIONES";"FERTILIZACION";"$ 181,0";"";"0,00";"";"tomas";"";"Cosecha/Postcosecha";"Día Lab.";"Confirmada"
"80.911";"1553";"12-03-2026";"EEIII";"EEIII 4";"41 - Ha:3.860, Pl:6429";"Uva";"Flame";"APLICACIONES";"FERTILIZACION";"$ 192,0";"";"0,00";"";"tomas";"";"Cosecha/Postcosecha";"Día Lab.";"Confirmada"
"80.910";"1553";"12-03-2026";"EEIII";"EEIII 3 B";"38 - Ha:4.060, Pl:6720";"Uva";"Flame";"APLICACIONES";"FERTILIZACION";"$ 202,0";"";"0,00";"";"tomas";"";"Cosecha/Postcosecha";"Día Lab.";"Confirmada"
"80.909";"1553";"12-03-2026";"EEIII";"EEIII 3 B";"35 - Ha:4.320, Pl:7147";"Uva";"Flame";"APLICACIONES";"FERTILIZACION";"$ 215,0";"";"0,00";"";"tomas";"";"Cosecha/Postcosecha";"Día Lab.";"Confirmada"
"80.908";"1553";"12-03-2026";"EEIII";"EEIII 3 B";"32 - Ha:4.540, Pl:7491";"Uva";"Flame";"APLICACIONES";"FERTILIZACION";"$ 226,0";"";"0,00";"";"tomas";"";"Cosecha/Postcosecha";"Día Lab.";"Confirmada"
"80.907";"1553";"12-03-2026";"EEIII";"EEIII 3 A";"29 - Ha:2.250, Pl:3739";"Uva";"Flame";"APLICACIONES";"FERTILIZACION";"$ 112,0";"";"0,00";"";"tomas";"";"Cosecha/Postcosecha";"Día Lab.";"Confirmada"
"80.906";"1553";"12-03-2026";"EEIII";"EEIII 3 A";"25 - Ha:2.000, Pl:3260";"Uva";"Flame";"APLICACIONES";"FERTILIZACION";"$ 99,0";"";"0,00";"";"tomas";"";"Cosecha/Postcosecha";"Día Lab.";"Confirmada"
"80.905";"1553";"12-03-2026";"EEIII";"EEIII 3 A";"24 - Ha:3.640, Pl:5986";"Uva";"Flame";"APLICACIONES";"FERTILIZACION";"$ 181,0";"";"0,00";"";"tomas";"";"Cosecha/Postcosecha";"Día Lab.";"Confirmada"
"81.081";"81081";"11-03-2026";"EEI";"EEI 2";"14 - Ha:5.110, Pl:8360";"Uva";"Flame";"APLICACIONES";"FERTILIZACION";"$ 143,9";"";"0,00";"";"tomas";"tomas";"Cosecha/Postcosecha";"Día Lab.";"Confirmada"
"81.080";"81080";"11-03-2026";"EEI";"EEI 2";"11 - Ha:4.070, Pl:6647";"Uva";"Flame";"APLICACIONES";"FERTILIZACION";"$ 88,0";"";"0,00";"";"tomas";"tomas";"Cosecha/Postcosecha";"Día Lab.";"Confirmada"
