I.D. Faena;N° Orden;Fecha;Clasifica;Código;Cuartel/Potrero;Cultivo;Variedad;Faena;Labor;Total Faena;Realizada;Total Jornadas;Trabajador;Usuario Login;Usuario;Est.Fenologico;Forma Pago;Estado Faena
81.223;81223;18/3/2026;Puente Alto;4;4 - Ha:4.440, Pl:7056;Uva;Flame;APLICACIONES;FERTILIZACION;$ 0,0;;0,00;;marcelow;javier;Cosecha/Postcosecha;Día Lab.;Confirmada
81.22;81220;18/3/2026;Puente Alto;3;3 - Ha:5.110, Pl:8512;Uva;Flame;APLICACIONES;FERTILIZACION;$ 0,0;;0,00;;marcelow;javier;Cosecha/Postcosecha;Día Lab.;Confirmada
81.219;81219;17/3/2026;Puente Alto;2;2 - Ha:5.130, Pl:8556;Uva;Flame;APLICACIONES;FERTILIZACION;$ 0,0;;0,00;;marcelow;javier;Cosecha/Postcosecha;Día Lab.;Confirmada
81.212;1556;17/3/2026;Puente Alto;6;6 - Ha:3.500, Pl:6481;Uva;Arizul;APLICACIONES;FERTILIZACION;$ 0,0;;0,00;;marcelow;javier;Cosecha/Postcosecha;Día Lab.;Confirmada
81.211;1556;17/3/2026;Puente Alto;5;5 - Ha:2.320, Pl:4794;Uva;Arizul;APLICACIONES;FERTILIZACION;$ 0,0;;0,00;;marcelow;javier;Cosecha/Postcosecha;Día Lab.;Confirmada
81.218;81218;16/3/2026;Puente Alto;4;4 - Ha:4.440, Pl:7056;Uva;Flame;APLICACIONES;FERTILIZACION;$ 0,0;;0,00;;marcelow;javier;Cosecha/Postcosecha;Día Lab.;Confirmada
81.216;81216;16/3/2026;Puente Alto;3;3 - Ha:5.110, Pl:8512;Uva;Flame;APLICACIONES;FERTILIZACION;$ 0,0;;0,00;;marcelow;javier;Cosecha/Postcosecha;Día Lab.;Confirmada
81.215;81215;16/3/2026;Puente Alto;4;4 - Ha:4.440, Pl:7056;Uva;Flame;APLICACIONES;FERTILIZACION;$ 0,0;;0,00;;marcelow;javier;Cosecha/Postcosecha;Día Lab.;Confirmada
81.214;81214;16/3/2026;Puente Alto;3;3 - Ha:5.110, Pl:8512;Uva;Flame;APLICACIONES;FERTILIZACION;$ 0,0;;0,00;;marcelow;javier;Cosecha/Postcosecha;Día Lab.;Confirmada
81.141;;16/3/2026;La Chimbera;23;23 - Ha:2.800, Pl:4544;Uva;Fiesta;APLICACIONES;FERTILIZACION;$ 7.699,4;;0,64;;marcelow;juanpablo;;Día Lab.;Confirmada
81.14;;16/3/2026;La Chimbera;22;22 - Ha:2.600, Pl:4205;Uva;Fiesta;APLICACIONES;FERTILIZACION;$ 7.125,5;;0,60;;marcelow;juanpablo;;Día Lab.;Confirmada
81.139;;16/3/2026;La Chimbera;20;20 - Ha:4.400, Pl:7040;Uva;Fiesta;APLICACIONES;FERTILIZACION;$ 12.075,2;;1,02;;marcelow;juanpablo;;Día Lab.;Confirmada
81.138;;16/3/2026;La Chimbera;27;27 - Ha:2.900, Pl:4576;Uva;Arizul;APLICACIONES;FERTILIZACION;$ 7.723,3;;0,64;;marcelow;juanpablo;;Día Lab.;Confirmada
81.137;;16/3/2026;La Chimbera;24;24 - Ha:2.800, Pl:4536;Uva;Arizul;APLICACIONES;FERTILIZACION;$ 7.460,3;;0,62;;marcelow;juanpablo;;Día Lab.;Confirmada
81.136;;16/3/2026;La Chimbera;18;18 - Ha:4.400, Pl:7040;Uva;Flame;APLICACIONES;FERTILIZACION;$ 11.716,5;;0,98;;marcelow;juanpablo;;Día Lab.;Confirmada
81.135;;16/3/2026;La Chimbera;26;26 - Ha:2.900, Pl:4608;Uva;Arizul;APLICACIONES;FERTILIZACION;$ 8.201,6;;0,68;;marcelow;juanpablo;;Día Lab.;Confirmada
81.134;;16/3/2026;La Chimbera;21;21 - Ha:2.200, Pl:3584;Uva;Flame;APLICACIONES;FERTILIZACION;$ 6.240,8;;0,52;;marcelow;juanpablo;;Día Lab.;Confirmada
81.133;;16/3/2026;La Chimbera;16;16 - Ha:4.400, Pl:7040;Uva;Flame;APLICACIONES;FERTILIZACION;$ 12.457,8;;1,04;;marcelow;juanpablo;Cosecha/Postcosecha;Día Lab.;Confirmada
81.132;;16/3/2026;La Chimbera;25;25 - Ha:2.800, Pl:4544;Uva;Arizul;APLICACIONES;FERTILIZACION;$ 6.910,3;;0,58;;marcelow;juanpablo;Cosecha/Postcosecha;Día Lab.;Confirmada
81.131;;16/3/2026;La Chimbera;19;19 - Ha:2.200, Pl:3584;Uva;Flame;APLICACIONES;FERTILIZACION;$ 5.427,8;;0,46;;marcelow;juanpablo;Cosecha/Postcosecha;Día Lab.;Confirmada
81.13;;16/3/2026;La Chimbera;17;17 - Ha:2.200, Pl:3584;Uva;Flame;APLICACIONES;FERTILIZACION;$ 5.427,8;;0,46;;marcelow;juanpablo;Cosecha/Postcosecha;Día Lab.;Confirmada
81.129;;16/3/2026;La Chimbera;15;15 - Ha:3.700, Pl:5900;Uva;Flame;APLICACIONES;FERTILIZACION;$ 9.134,1;;0,76;;marcelow;juanpablo;Cosecha/Postcosecha;Día Lab.;Confirmada
81.128;;16/3/2026;La Chimbera;23;23 - Ha:2.800, Pl:4544;Uva;Fiesta;APLICACIONES;FERTILIZACION;$ 706,6;;0,32;;marcelow;juanpablo;Cosecha/Postcosecha;Día Lab.;Confirmada
81.127;;16/3/2026;La Chimbera;22;22 - Ha:2.600, Pl:4205;Uva;Fiesta;APLICACIONES;FITOSANITARIO;$ 653,9;;0,30;;marcelow;juanpablo;Cosecha/Postcosecha;Día Lab.;Confirmada
81.126;;16/3/2026;La Chimbera;20;20 - Ha:4.400, Pl:7040;Uva;Fiesta;APLICACIONES;FERTILIZACION;$ 1.108,2;;0,51;;marcelow;juanpablo;Cosecha/Postcosecha;Día Lab.;Confirmada
81.125;;16/3/2026;La Chimbera;27;27 - Ha:2.900, Pl:4576;Uva;Arizul;APLICACIONES;FERTILIZACION;$ 7.014,5;;0,32;;marcelow;juanpablo;;Día Lab.;Confirmada
81.124;;16/3/2026;La Chimbera;24;24 - Ha:2.800, Pl:4536;Uva;Arizul;APLICACIONES;FERTILIZACION;$ 6.775,6;;0,31;;marcelow;juanpablo;Cosecha/Postcosecha;Día Lab.;Confirmada
81.123;;16/3/2026;La Chimbera;18;18 - Ha:4.400, Pl:7040;Uva;Flame;APLICACIONES;FERTILIZACION;$ 10.641,2;;0,49;;marcelow;juanpablo;;Día Lab.;Confirmada
81.122;;16/3/2026;La Chimbera;26;26 - Ha:2.900, Pl:4608;Uva;Arizul;APLICACIONES;FERTILIZACION;$ 752,7;;0,34;;marcelow;juanpablo;Cosecha/Postcosecha;Día Lab.;Confirmada
81.121;;16/3/2026;La Chimbera;21;21 - Ha:2.200, Pl:3584;Uva;Flame;APLICACIONES;FERTILIZACION;$ 572,7;;0,26;;marcelow;juanpablo;Cosecha/Postcosecha;Día Lab.;Confirmada
81.12;;16/3/2026;La Chimbera;16;16 - Ha:4.400, Pl:7040;Uva;Flame;APLICACIONES;FERTILIZACION;$ 1.143,3;;0,52;;marcelow;juanpablo;Cosecha/Postcosecha;Día Lab.;Confirmada
81.119;;16/3/2026;La Chimbera;25;25 - Ha:2.800, Pl:4544;Uva;Arizul;APLICACIONES;FERTILIZACION;$ 6.276,1;;0,29;;marcelow;juanpablo;Cosecha/Postcosecha;Día Lab.;Confirmada
81.118;;16/3/2026;La Chimbera;19;19 - Ha:2.200, Pl:3584;Uva;Flame;APLICACIONES;FERTILIZACION;$ 4.929,7;;0,23;;marcelow;juanpablo;Cosecha/Postcosecha;Día Lab.;Confirmada
81.117;;16/3/2026;La Chimbera;17;17 - Ha:2.200, Pl:3584;Uva;Flame;APLICACIONES;FERTILIZACION;$ 4.929,7;;0,23;;marcelow;juanpablo;Cosecha/Postcosecha;Día Lab.;Confirmada
81.116;;16/3/2026;La Chimbera;15;15 - Ha:3.700, Pl:5900;Uva;Flame;APLICACIONES;FERTILIZACION;$ 8.295,8;;0,38;;marcelow;juanpablo;Cosecha/Postcosecha;Día Lab.;Confirmada
81.213;81213;15/3/2026;Puente Alto;2;2 - Ha:5.130, Pl:8556;Uva;Flame;APLICACIONES;FERTILIZACION;$ 0,0;;0,00;;marcelow;javier;Cosecha/Postcosecha;Día Lab.;Confirmada
81.209;1555;15/3/2026;Puente Alto;6;6 - Ha:3.500, Pl:6481;Uva;Arizul;APLICACIONES;FERTILIZACION;$ 0,0;;0,00;;marcelow;javier;Cosecha/Postcosecha;Día Lab.;Confirmada
81.208;1555;15/3/2026;Puente Alto;5;5 - Ha:2.320, Pl:4794;Uva;Arizul;APLICACIONES;FERTILIZACION;$ 0,0;;0,00;;marcelow;javier;Cosecha/Postcosecha;Día Lab.;Confirmada
