"I.D. Faena";"N° Orden";"Fecha";"Clasifica";"Cuartel/Potrero";"Cultivo";"Faena";"Labor";"Forma Pago";"Cantidad";"Tipo Pago";"Exporta";"Jugo";"Otros";"Total Cosecha";"Realizada";"Cuadrilla";"Trabajador";"Total Jornadas";"N°T";"Rendi";"Repo";"Mapa";"Usuario Login";"Usuario.";"Tipo Origen";"Historia AppSofía";"Observaciones";"Fecha x Mes"
"80.067";"";"05/03/2026";"Pasa Húmeda";"001 - Ha:0.000, Pl:0";"Uva";"COSECHA";"LEVANTADO 3";"Día";"8.920,00";"Precio Unico";"-";"-";"-";"$ 0,0";"";"";"";"1,00";"1";"";"";"";"";"tomas";"0";"";"proyecto sj";"03/2026"
"80.066";"";"27/02/2026";"Pasa Húmeda";"001 - Ha:0.000, Pl:0";"Uva";"COSECHA";"COSECHA KG 3";"Día";"8.920,00";"Precio Unico";"-";"-";"-";"$ 0,0";"";"";"";"1,00";"1";"";"";"";"";"tomas";"0";"";"proyecto sj";"02/2026"
"79.892";"";"03/03/2026";"Pasa Húmeda";"002 - Ha:0.000, Pl:0";"Uva";"COSECHA";"LEVANTADO 4";"Día";"22.961,00";"Precio Unico";"-";"-";"-";"$ 0,0";"";"";"";"1,00";"1";"";"";"";"";"tomas";"0";"";"";"03/2026"
"79.891";"";"26/02/2026";"Pasa Húmeda";"002 - Ha:0.000, Pl:0";"Uva";"COSECHA";"COSECHA KG 4";"Día";"22.961,00";"Precio Unico";"-";"-";"-";"$ 0,0";"";"";"";"1,00";"1";"";"";"";"";"tomas";"0";"";"";"02/2026"
"79.890";"";"25/02/2026";"Pasa Húmeda";"002 - Ha:0.000, Pl:0";"Uva";"COSECHA";"COSECHA KG 4";"Día";"28.780,00";"Precio Unico";"-";"-";"-";"$ 0,0";"";"";"";"1,00";"1";"";"";"";"";"tomas";"0";"";"";"02/2026"
"79.889";"";"19/02/2026";"Pasa Húmeda";"002 - Ha:0.000, Pl:0";"Uva";"COSECHA";"COSECHA KG 3";"Día";"5.050,00";"Precio Unico";"-";"-";"-";"$ 0,0";"";"";"";"1,00";"1";"";"";"";"";"tomas";"0";"";"";"02/2026"
"79.888";"";"14/02/2026";"Pasa Húmeda";"002 - Ha:0.000, Pl:0";"Uva";"COSECHA";"COSECHA KG 3";"Día";"29.760,00";"Precio Unico";"-";"-";"-";"$ 0,0";"";"";"";"2,00";"2";"";"";"";"";"tomas";"0";"";"";"02/2026"
"79.828";"";"02/03/2026";"Pasa Húmeda";"002 - Ha:0.000, Pl:0";"Uva";"COSECHA";"LEVANTADO 4";"Día";"28.780,00";"Precio Unico";"-";"-";"-";"$ 0,0";"";"";"";"1,00";"1";"";"";"";"";"tomas";"0";"";"";"03/2026"
"79.827";"";"26/02/2026";"Pasa Húmeda";"002 - Ha:0.000, Pl:0";"Uva";"COSECHA";"LEVANTADO 3";"Día";"5.050,00";"Precio Unico";"-";"-";"-";"$ 0,0";"";"";"";"1,00";"1";"";"";"";"";"tomas";"0";"";"";"02/2026"
"79.826";"";"19/02/2026";"Pasa Húmeda";"002 - Ha:0.000, Pl:0";"Uva";"COSECHA";"LEVANTADO 3";"Día";"29.760,00";"Precio Unico";"-";"-";"-";"$ 0,0";"";"";"";"2,00";"2";"";"";"";"";"tomas";"0";"";"";"02/2026"
