ID;CODIGO;NOMBRE DE FAENA;NOMBRE LABOR;PRECIO;RENDIMIENTO;ID LABOR
83;CF001;PODA;PODA;$ 0,00;0;17
83;CF001;PODA;SUPERVICIÓN PODA;$ 0,00;0;18
83;CF001;PODA;PINTURA;$ 0,00;0;19
83;CF001;PODA; AMONTONAR SARMIENTO;$ 0,00;0;20
83;CF001;PODA; HACER MUGRONES;$ 0,00;0;21
83;CF001;PODA;  REPASE DE PODA;$ 0,00;0;22
83;CF001;PODA;  PODA SETO;$ 0,00;0;23
83;CF001;PODA;  PREPODA TRACTOR;$ 0,00;0;24
83;CF001;PODA;  PESO PODA;$ 0,00;0;25
83;CF001;PODA;PODA MUGRONES;$ 0,00;0;176
83;CF001;PODA;DESPUNTE DE GUIAS;$ 0,00;0;247
83;CF001;PODA;PODA DOV;$ 0,00;0;293
84;;INJERTO;PREPARACION DE PLANTA;$ 0,00;0;26
84;;INJERTO;RECOLECCION DE MATERIAL;$ 0,00;0;27
84;;INJERTO;INJERTO;$ 0,00;0;28
84;;INJERTO;REPASO INJERTO;$ 0,00;0;29
84;;INJERTO;CORTE DE CINTA;$ 0,00;0;30
84;;INJERTO;ARMADO DE PAQUETE;$ 0,00;0;294
85;CF002;ATADA;ATADA BARBECHO;$ 0,00;0;31
85;CF002;ATADA;ATADA;$ 0,00;0;32
85;CF002;ATADA;COLGAR PLANTA;$ 0,00;0;33
85;CF002;ATADA;SUPERVICIÓN ATADA;$ 0,00;0;141
85;CF002;ATADA;ATADO CUERPO CEPA;$ 0,00;0;183
85;CF002;ATADA;ATADA DE INJERTO 1;$ 0,00;0;208
85;CF002;ATADA;ATADA DE INJERTO 2;$ 0,00;0;209
85;CF002;ATADA;ATADA DE INJERTO 3;$ 0,00;0;210
86;CF003;APLICACIONES;FERTILIZACION;$ 0,00;0;34
86;CF003;APLICACIONES;HERBICIDA MOCHILA;$ 0,00;0;35
86;CF003;APLICACIONES;FITOSANITARIO;$ 0,00;0;36
86;CF003;APLICACIONES;HERBICIDA ATOMIZADORA;$ 0,00;0;37
86;CF003;APLICACIONES;FERTILIZANTE FOLIAR ATOMIZADORA;$ 0,00;0;38
86;CF003;APLICACIONES; ENMIENDAS AL SUELO;$ 0,00;0;39
86;CF003;APLICACIONES;  DESMANCHE;$ 0,00;0;40
86;CF003;APLICACIONES;DOSIFICADOR;$ 0,00;0;41
86;CF003;APLICACIONES;COMPLETO;$ 0,00;0;177
86;CF003;APLICACIONES;LA BANDA;$ 0,00;0;178
86;CF003;APLICACIONES;RIENDAS;$ 0,00;0;179
86;CF003;APLICACIONES;AF - BROTE 10;$ 0,00;0;249
86;CF003;APLICACIONES;AF - BROTE 20;$ 0,00;0;250
86;CF003;APLICACIONES;AF - BROTE 40;$ 0,00;0;251
86;CF003;APLICACIONES;AF - BROTE 60;$ 0,00;0;252
86;CF003;APLICACIONES;AF - PREFLOR;$ 0,00;0;253
86;CF003;APLICACIONES;AF - FLOR;$ 0,00;0;254
86;CF003;APLICACIONES;AF - FLOR 1 ;$ 0,00;0;255
86;CF003;APLICACIONES;AF - G. PIMIENTA;$ 0,00;0;256
86;CF003;APLICACIONES;AF - G 8-10 MM;$ 0,00;0;257
86;CF003;APLICACIONES;AF - PRE-ENVERO;$ 0,00;0;258
86;CF003;APLICACIONES;AF - PRE-ENVERO 1;$ 0,00;0;261
86;CF003;APLICACIONES;AF - ENVERO;$ 0,00;0;262
86;CF003;APLICACIONES;AF - PRECOSECHA;$ 0,00;0;263
86;CF003;APLICACIONES;AF - COSECHA;$ 0,00;0;264
86;CF003;APLICACIONES;AF - COSECHA 1;$ 0,00;0;265
86;CF003;APLICACIONES;AF - COSECHA 2;$ 0,00;0;266
86;CF003;APLICACIONES;AF - POST-COSECHA;$ 0,00;0;267
86;CF003;APLICACIONES;AF - POST-COSECHA 1;$ 0,00;0;268
86;CF003;APLICACIONES;AF - POST-COSECHA 2;$ 0,00;0;269
86;CF003;APLICACIONES;AF - POST-COSECHA 3;$ 0,00;0;270
86;CF003;APLICACIONES;NO USAR AF -  21;$ 0,00;0;271
86;CF003;APLICACIONES;NO USAR AF - 22;$ 0,00;0;272
86;CF003;APLICACIONES;NO USAR AF - 23;$ 0,00;0;273
86;CF003;APLICACIONES;NO USAR AF - 24;$ 0,00;0;274
86;CF003;APLICACIONES;NO USAR AF - 25;$ 0,00;0;275
86;CF003;APLICACIONES;NO USAR AF - 26;$ 0,00;0;279
86;CF003;APLICACIONES;NO USAR  AF - 27;$ 0,00;0;280
86;CF003;APLICACIONES;NO USAR AF - 28;$ 0,00;0;281
86;CF003;APLICACIONES;NO USAR AF - 29;$ 0,00;0;282
86;CF003;APLICACIONES;NO USAR AF - 30;$ 0,00;0;283
86;CF003;APLICACIONES;NO USAR AF - 31;$ 0,00;0;284
86;CF003;APLICACIONES;NO USAR AF - 32;$ 0,00;0;285
86;CF003;APLICACIONES;NO USAR AF - 33;$ 0,00;0;286
86;CF003;APLICACIONES;NO USAR AF - 34;$ 0,00;0;287
86;CF003;APLICACIONES;NO USAR AF - 35;$ 0,00;0;288
86;CF003;APLICACIONES;AF-DRON;$ 0,00;0;297
87; CF004;TRABAJOS VERDE;ACOMODO DE BROTES;$ 0,00;0;42
87; CF004;TRABAJOS VERDE;ACOMODO DE BROTES;$ 0,00;0;43
87; CF004;TRABAJOS VERDE;DESBROTE DE TRONCO 1;$ 0,00;0;44
87; CF004;TRABAJOS VERDE;DESBROTE DE TRONCO 2;$ 0,00;0;45
87; CF004;TRABAJOS VERDE; DESHOJE;$ 0,00;0;46
87; CF004;TRABAJOS VERDE;DESBROTE DE TRONCO 3;$ 0,00;0;47
87; CF004;TRABAJOS VERDE;DESBROTE DE TRONCO 4;$ 0,00;0;48
87; CF004;TRABAJOS VERDE;DESBROTE DE TRONCO 5;$ 0,00;0;49
87; CF004;TRABAJOS VERDE;DESBROTE DE TRONCO 6;$ 0,00;0;146
87; CF004;TRABAJOS VERDE;MUGRONES ;$ 0,00;0;147
87; CF004;TRABAJOS VERDE;DESBROTE DE TRONCO;$ 0,00;0;149
87; CF004;TRABAJOS VERDE;ATADO CUERPO CEPA ;$ 0,00;0;150
87; CF004;TRABAJOS VERDE;RETAPADO ;$ 0,00;0;151
87; CF004;TRABAJOS VERDE;DESNIETE, DESHOJE;$ 0,00;0;181
87; CF004;TRABAJOS VERDE;RALEO DE RACIMOS(30CM);$ 0,00;0;182
87; CF004;TRABAJOS VERDE;DESBROTE DOV 1;$ 0,00;0;201
87; CF004;TRABAJOS VERDE;DESBROTE DOV 2;$ 0,00;0;202
87; CF004;TRABAJOS VERDE;DESBROTE DOV 3;$ 0,00;0;203
87; CF004;TRABAJOS VERDE;DESBROTE CON CRITERIO DE PODA;$ 0,00;0;204
87; CF004;TRABAJOS VERDE;DESBROTE DE PLANTAS REINJERTADAS 1;$ 0,00;0;205
87; CF004;TRABAJOS VERDE;DESBROTE DE PLANTAS REINJERTADAS 2;$ 0,00;0;206
87; CF004;TRABAJOS VERDE;DESBROTE DE PLANTAS REINJERTADAS 3;$ 0,00;0;207
87; CF004;TRABAJOS VERDE;ACOMODO DE BROTE POST ZONDA;$ 0,00;0;219
87; CF004;TRABAJOS VERDE;DESBROTE DE TRONCO 7;$ 0,00;0;232
87; CF004;TRABAJOS VERDE;DESBROTE DE TRONCO 8;$ 0,00;0;233
87; CF004;TRABAJOS VERDE;DESBROTE DE TRONCO 9;$ 0,00;0;241
87; CF004;TRABAJOS VERDE;DESBROTE DE TRONCO 10;$ 0,00;0;245
87; CF004;TRABAJOS VERDE;DESBROTE DE PLANTAS REINJERTADAS 4;$ 0,00;0;296
88;CF005;COSECHA;COSECHA CAJONES;$ 0,00;0;50
88;CF005;COSECHA;COSECHA BINES;$ 300,00;0;51
88;CF005;COSECHA; SUPERVISION COSECHA;$ 0,00;0;52
88;CF005;COSECHA; COSECHA MECANICA;$ 0,00;0;53
88;CF005;COSECHA;TRACTORISTA UÑAS;$ 0,00;0;54
88;CF005;COSECHA; LIMPIEZA BINS;$ 0,00;0;55
88;CF005;COSECHA;TRACTORISTA CARRO;$ 0,00;0;56
88;CF005;COSECHA;TRACTO ELEVADOR;$ 0,00;0;57
88;CF005;COSECHA;LIMPIEZA CAJONES;$ 0,00;0;58
88;CF005;COSECHA;REPARACION ENVASES;$ 0,00;0;59
88;CF005;COSECHA;TRACTORISTA REGADOR;$ 0,00;0;60
88;CF005;COSECHA;COSECHA KG 1;$ 0,00;0;155
88;CF005;COSECHA;COSECHA BINS (DIA);$ 0,00;0;172
88;CF005;COSECHA;ANOTADOR COSECHA;$ 0,00;0;173
88;CF005;COSECHA;ENCARGADO;$ 0,00;0;174
88;CF005;COSECHA;COSECHA CARRO;$ 0,00;0;185
88;CF005;COSECHA;COSECHA DOV;$ 0,00;0;187
88;CF005;COSECHA;CONTROL ;$ 0,00;0;188
88;CF005;COSECHA;TENDIDO 1;$ 0,00;0;215
88;CF005;COSECHA;TENDIDO 2;$ 0,00;0;216
