ID;CODIGO;NOMBRE DE FAENA;NOMBRE LABOR;PRECIO;RENDIMIENTO;ID LABOR
1;CF001;PODA;PODA;$ 0,00;0;17
1;CF001;PODA;SUPERVICIÓN PODA;$ 0,00;0;18
1;CF001;PODA;PINTURA;$ 0,00;0;19
1;CF001;PODA;AMONTONAR SARMIENTO;$ 0,00;0;20
1;CF001;PODA;HACER MUGRONES;$ 0,00;0;21
1;CF001;PODA;REPASE DE PODA;$ 0,00;0;22
1;CF001;PODA;PODA SETO;$ 0,00;0;23
1;CF001;PODA;PREPODA TRACTOR;$ 0,00;0;24
1;CF001;PODA;PESO PODA;$ 0,00;0;25
1;CF001;PODA;PODA MUGRONES;$ 0,00;0;176
1;CF001;PODA;DESPUNTE DE GUIAS;$ 0,00;0;247
1;CF001;PODA;PODA DOV;$ 0,00;0;293
2;;INJERTO;PREPARACION DE PLANTA;$ 0,00;0;26
2;;INJERTO;RECOLECCION DE MATERIAL;$ 0,00;0;27
2;;INJERTO;INJERTO;$ 0,00;0;28
2;;INJERTO;REPASO INJERTO;$ 0,00;0;29
2;;INJERTO;CORTE DE CINTA;$ 0,00;0;30
2;;INJERTO;ARMADO DE PAQUETE;$ 0,00;0;294
3;CF002;ATADA;ATADA BARBECHO;$ 0,00;0;31
3;CF002;ATADA;ATADA;$ 0,00;0;32
3;CF002;ATADA;COLGAR PLANTA;$ 0,00;0;33
3;CF002;ATADA;SUPERVICIÓN ATADA;$ 0,00;0;141
3;CF002;ATADA;ATADO CUERPO CEPA;$ 0,00;0;183
3;CF002;ATADA;ATADA DE INJERTO 1;$ 0,00;0;208
3;CF002;ATADA;ATADA DE INJERTO 2;$ 0,00;0;209
3;CF002;ATADA;ATADA DE INJERTO 3;$ 0,00;0;210
4; CF004;TRABAJOS VERDE;ACOMODO DE BROTES;$ 0,00;0;42
4; CF004;TRABAJOS VERDE;ACOMODO DE BROTES;$ 0,00;0;43
4; CF004;TRABAJOS VERDE;DESBROTE DE TRONCO 1;$ 0,00;0;44
4; CF004;TRABAJOS VERDE;DESBROTE DE TRONCO 2;$ 0,00;0;45
4; CF004;TRABAJOS VERDE;DESHOJE;$ 0,00;0;46
4; CF004;TRABAJOS VERDE;DESBROTE DE TRONCO 3;$ 0,00;0;47
4; CF004;TRABAJOS VERDE;DESBROTE DE TRONCO 4;$ 0,00;0;48
4; CF004;TRABAJOS VERDE;DESBROTE DE TRONCO 5;$ 0,00;0;49
4; CF004;TRABAJOS VERDE;DESBROTE DE TRONCO 6;$ 0,00;0;146
4; CF004;TRABAJOS VERDE;MUGRONES;$ 0,00;0;147
4; CF004;TRABAJOS VERDE;DESBROTE DE TRONCO;$ 0,00;0;149
4; CF004;TRABAJOS VERDE;ATADO CUERPO CEPA;$ 0,00;0;150
4; CF004;TRABAJOS VERDE;RETAPADO;$ 0,00;0;151
4; CF004;TRABAJOS VERDE;DESNIETE, DESHOJE;$ 0,00;0;181
4; CF004;TRABAJOS VERDE;RALEO DE RACIMOS(30CM);$ 0,00;0;182
4; CF004;TRABAJOS VERDE;DESBROTE DOV 1;$ 0,00;0;201
4; CF004;TRABAJOS VERDE;DESBROTE DOV 2;$ 0,00;0;202
4; CF004;TRABAJOS VERDE;DESBROTE DOV 3;$ 0,00;0;203
4; CF004;TRABAJOS VERDE;DESBROTE CON CRITERIO DE PODA;$ 0,00;0;204
4; CF004;TRABAJOS VERDE;DESBROTE DE PLANTAS REINJERTADAS 1;$ 0,00;0;205
4; CF004;TRABAJOS VERDE;DESBROTE DE PLANTAS REINJERTADAS 2;$ 0,00;0;206
4; CF004;TRABAJOS VERDE;DESBROTE DE PLANTAS REINJERTADAS 3;$ 0,00;0;207
4; CF004;TRABAJOS VERDE;ACOMODO DE BROTE POST ZONDA;$ 0,00;0;219
