PROYECCIÓN JORNAL ESPECÍFICO — CICLO 2025-2026

Finca;Predio;Cuartel;Ha;Plantas;Variedad;Labor;Rend. Proy.;Jorn. Proy.;Rend. Real;Jorn. Reales;Desvío %;Rend. Sugerido;Jorn. Sugeridos;Fecha Inicio;Fecha Fin;Fuente
El Espejo;El Espejo 1;GALPON;1;0;;PODA;100;0;-;1.7;-;-;-;2026-05-01;2027-04-01;excel
El Espejo;El Espejo 1;GALPON;1;0;;SUPERVICI�N PODA;100;0;-;-;-;-;-;2026-05-01;2027-04-01;excel
El Espejo;El Espejo 1;GALPON;1;0;;PINTURA;100;0;-;-;-;-;-;2026-05-01;2027-04-01;excel
El Espejo;El Espejo 1;GALPON;1;0;;AMONTONAR SARMIENTO;100;0;-;-;-;-;-;2026-05-01;2027-04-01;excel
El Espejo;El Espejo 1;GALPON;1;0;;HACER MUGRONES;100;0;-;0.1;-;-;-;2026-05-01;2027-04-01;excel
El Espejo;El Espejo 1;GALPON;1;0;;REPASE DE PODA;100;0;-;-;-;-;-;2026-05-01;2027-04-01;excel
El Espejo;El Espejo 1;GALPON;1;0;;PODA SETO;100;0;-;-;-;-;-;2026-05-01;2027-04-01;excel
El Espejo;El Espejo 1;GALPON;1;0;;PREPODA TRACTOR;100;0;-;-;-;-;-;2026-05-01;2027-04-01;excel
El Espejo;El Espejo 1;GALPON;1;0;;PESO PODA;100;0;-;-;-;-;-;2026-05-01;2027-04-01;excel
El Espejo;El Espejo 1;GALPON;1;0;;PODA MUGRONES;100;0;-;-;-;-;-;2026-05-01;2027-04-01;excel
El Espejo;El Espejo 1;GALPON;1;0;;DESPUNTE DE GUIAS;100;0;-;-;-;-;-;2026-05-01;2027-04-01;excel
El Espejo;El Espejo 1;GALPON;1;0;;PODA DOV;100;0;-;2;-;-;-;2026-05-01;2027-04-01;excel
El Espejo;El Espejo 1;GALPON;1;0;;PREPARACION DE PLANTA;100;0;-;-;-;-;-;2026-05-01;2027-04-01;excel
El Espejo;El Espejo 1;GALPON;1;0;;RECOLECCION DE MATERIAL;100;0;-;-;-;-;-;2026-05-01;2027-04-01;excel
El Espejo;El Espejo 1;GALPON;1;0;;INJERTO;100;0;-;-;-;-;-;2026-05-01;2027-04-01;excel
El Espejo;El Espejo 1;GALPON;1;0;;REPASO INJERTO;100;0;-;-;-;-;-;2026-05-01;2027-04-01;excel
El Espejo;El Espejo 1;GALPON;1;0;;CORTE DE CINTA;100;0;-;-;-;-;-;2026-05-01;2027-04-01;excel
El Espejo;El Espejo 1;GALPON;1;0;;ARMADO DE PAQUETE;100;0;-;-;-;-;-;2026-05-01;2027-04-01;excel
El Espejo;El Espejo 1;GALPON;1;0;;ATADA BARBECHO;100;0;-;-;-;-;-;2026-05-01;2027-04-01;excel
El Espejo;El Espejo 1;GALPON;1;0;;ATADA;100;0;-;2.1;-;-;-;2026-05-01;2027-04-01;excel
El Espejo;El Espejo 1;GALPON;1;0;;COLGAR PLANTA;100;0;-;-;-;-;-;2026-05-01;2027-04-01;excel
El Espejo;El Espejo 1;GALPON;1;0;;SUPERVICI�N ATADA;100;0;-;-;-;-;-;2026-05-01;2027-04-01;excel
El Espejo;El Espejo 1;GALPON;1;0;;ATADO CUERPO CEPA;100;0;-;-;-;-;-;2026-05-01;2027-04-01;excel
El Espejo;El Espejo 1;GALPON;1;0;;ATADA DE INJERTO 1;100;0;-;-;-;-;-;2026-05-01;2027-04-01;excel
El Espejo;El Espejo 1;GALPON;1;0;;ATADA DE INJERTO 2;100;0;-;-;-;-;-;2026-05-01;2027-04-01;excel
El Espejo;El Espejo 1;GALPON;1;0;;ATADA DE INJERTO 3;100;0;-;-;-;-;-;2026-05-01;2027-04-01;excel
El Espejo;El Espejo 1;GALPON;1;0;;ACOMODO DE BROTES;100;0;-;0.2;-;-;-;2026-05-01;2027-04-01;excel
El Espejo;El Espejo 1;GALPON;1;0;;ACOMODO DE BROTES;100;0;-;0.2;-;-;-;2026-05-01;2027-04-01;excel
El Espejo;El Espejo 1;GALPON;1;0;;DESBROTE DE TRONCO 1;100;0;-;0.3;-;-;-;2026-05-01;2027-04-01;excel
El Espejo;El Espejo 1;GALPON;1;0;;DESBROTE DE TRONCO 2;100;0;-;0.1;-;-;-;2026-05-01;2027-04-01;excel
El Espejo;El Espejo 1;GALPON;1;0;;DESHOJE;100;0;-;-;-;-;-;2026-05-01;2027-04-01;excel
El Espejo;El Espejo 1;GALPON;1;0;;DESBROTE DE TRONCO 3;100;0;-;0.2;-;-;-;2026-05-01;2027-04-01;excel
El Espejo;El Espejo 1;GALPON;1;0;;DESBROTE DE TRONCO 4;100;0;-;0.2;-;-;-;2026-05-01;2027-04-01;excel
El Espejo;El Espejo 1;GALPON;1;0;;DESBROTE DE TRONCO 5;100;0;-;0.1;-;-;-;2026-05-01;2027-04-01;excel
El Espejo;El Espejo 1;GALPON;1;0;;DESBROTE DE TRONCO 6;100;0;-;0.1;-;-;-;2026-05-01;2027-04-01;excel
El Espejo;El Espejo 1;GALPON;1;0;;MUGRONES;100;0;-;-;-;-;-;2026-05-01;2027-04-01;excel
El Espejo;El Espejo 1;GALPON;1;0;;DESBROTE DE TRONCO;100;0;-;-;-;-;-;2026-05-01;2027-04-01;excel
El Espejo;El Espejo 1;GALPON;1;0;;ATADO CUERPO CEPA;100;0;-;-;-;-;-;2026-05-01;2027-04-01;excel
El Espejo;El Espejo 1;GALPON;1;0;;RETAPADO;100;0;-;-;-;-;-;2026-05-01;2027-04-01;excel
El Espejo;El Espejo 1;GALPON;1;0;;DESNIETE, DESHOJE;100;0;-;-;-;-;-;2026-05-01;2027-04-01;excel
El Espejo;El Espejo 1;GALPON;1;0;;RALEO DE RACIMOS(30CM);100;0;-;1.1;-;-;-;2026-05-01;2027-04-01;excel
El Espejo;El Espejo 1;GALPON;1;0;;DESBROTE DOV 1;100;0;-;-;-;-;-;2026-05-01;2027-04-01;excel
El Espejo;El Espejo 1;GALPON;1;0;;DESBROTE DOV 2;100;0;-;-;-;-;-;2026-05-01;2027-04-01;excel
El Espejo;El Espejo 1;GALPON;1;0;;DESBROTE DOV 3;100;0;-;-;-;-;-;2026-05-01;2027-04-01;excel
El Espejo;El Espejo 1;GALPON;1;0;;DESBROTE CON CRITERIO DE PODA;100;0;-;-;-;-;-;2026-05-01;2027-04-01;excel
El Espejo;El Espejo 1;GALPON;1;0;;DESBROTE DE PLANTAS REINJERTADAS 1;100;0;-;0.1;-;-;-;2026-05-01;2027-04-01;excel
El Espejo;El Espejo 1;GALPON;1;0;;DESBROTE DE PLANTAS REINJERTADAS 2;100;0;-;-;-;-;-;2026-05-01;2027-04-01;excel
El Espejo;El Espejo 1;GALPON;1;0;;DESBROTE DE PLANTAS REINJERTADAS 3;100;0;-;0.1;-;-;-;2026-05-01;2027-04-01;excel
El Espejo;El Espejo 1;GALPON;1;0;;ACOMODO DE BROTE POST ZONDA;100;0;-;-;-;-;-;2026-05-01;2027-04-01;excel
El Espejo;El Espejo 1;GALPON;1;0;;DESBROTE DE TRONCO 7;100;0;-;-;-;-;-;2026-05-01;2027-04-01;excel
El Espejo;El Espejo 1;GALPON;1;0;;DESBROTE DE TRONCO 8;100;0;-;-;-;-;-;2026-05-01;2027-04-01;excel
El Espejo;El Espejo 1;GALPON;1;0;;DESBROTE DE TRONCO 9;100;0;-;-;-;-;-;2026-05-01;2027-04-01;excel
El Espejo;El Espejo 1;GALPON;1;0;;DESBROTE DE TRONCO 10;100;0;-;-;-;-;-;2026-05-01;2027-04-01;excel
El Espejo;El Espejo 1;GALPON;1;0;;DESBROTE DE PLANTAS REINJERTADAS 4;100;0;-;-;-;-;-;2026-05-01;2027-04-01;excel
