PROYECCIÓN JORNAL ESPECÍFICO — CICLO 2025-2026

Finca;Predio;Cuartel;Ha;Plantas;Variedad;Labor;Rend. Proy.;Jorn. Proy.;Rend. Real;Jorn. Reales;Desvío %;Rend. Sugerido;Jorn. Sugeridos;Fecha Inicio;Fecha Fin;Fuente
El Espejo;El Espejo 1;GALPON;1;0;;Poda;300;0;-;4.3;-;-;-;2026-06-01;2026-08-01;excel
El Espejo;El Espejo 1;GALPON;1;0;;Atada;400;0;-;2.5;-;-;-;2026-08-01;2026-09-01;excel
El Espejo;El Espejo 1;GALPON;1;0;;Desbrote de troncos;500;0;-;1.3;-;-;-;2026-10-01;2026-11-01;excel
El Espejo;El Espejo 1;GALPON;1;0;;Acomodo de brotes;300;0;-;0.4;-;-;-;2026-10-01;2026-12-01;excel
El Espejo;El Espejo 1;GALPON;1;0;;Desniete Deshoje;400;0;-;-;-;-;-;2026-11-01;2027-01-01;excel
El Espejo;El Espejo 1;GALPON;1;0;;Desbrote crit. Poda;500;0;-;-;-;-;-;2026-11-01;2026-12-01;excel
El Espejo;El Espejo 1;GALPON;1;0;;Raleo de Racimos;1000;0;-;1.1;-;-;-;2026-12-01;2027-01-01;excel
El Espejo;El Espejo 1;GALPON;1;0;;Riego;10;1;0.4;2.4;140.0%;3;1;2026-05-01;2027-04-01;excel
El Espejo;El Espejo 1;GALPON;1;0;;Malezas Mochila;5;1;0.3;3.4;240.0%;2;1;2026-09-01;2027-03-01;excel
El Espejo;El Espejo 1;GALPON;1;0;;Desmalezar manual;4;1;-;-;-;-;-;2026-09-01;2027-03-01;excel
El Espejo;El Espejo 1;GALPON;1;0;;Cosecha;250;0;-;1.2;-;-;-;2026-01-01;2026-03-01;excel
El Espejo;El Espejo 1;GALPON;1;0;;Levantado;350;0;-;1;-;-;-;2026-02-01;2026-04-01;excel
El Espejo;El Espejo 1;1;3.13;6808;;Poda;300;23;508;13.4;-41.7%;446;16;2026-06-01;2026-08-01;excel
El Espejo;El Espejo 1;1;3.13;6808;;Atada;400;18;862;7.9;-56.1%;723;10;2026-08-01;2026-09-01;excel
El Espejo;El Espejo 1;1;3.13;6808;;Desbrote de troncos;500;14;1621;4.2;-70.0%;1285;6;2026-10-01;2026-11-01;excel
El Espejo;El Espejo 1;1;3.13;6808;;Acomodo de brotes;300;23;4863;1.4;-93.9%;3494;2;2026-10-01;2026-12-01;excel
El Espejo;El Espejo 1;1;3.13;6808;;Desniete Deshoje;400;18;-;-;-;-;-;2026-11-01;2027-01-01;excel
El Espejo;El Espejo 1;1;3.13;6808;;Desbrote crit. Poda;500;14;-;-;-;-;-;2026-11-01;2026-12-01;excel
El Espejo;El Espejo 1;1;3.13;6808;;Raleo de Racimos;1000;7;1945;3.5;-50.0%;1662;5;2026-12-01;2027-01-01;excel
