id;codigo;faena;tipo;finca;labor;precio;rendimiento;id labor
83;CF001;PODA;Labor Agrícola;Camino Truncado, Puente Alto y La Chimbera<br>El espejo<br>Predio test (cambiar Nombre)....;PODA;$ 0,00;0;17
83;CF001;PODA;Labor Agrícola;Camino Truncado, Puente Alto y La Chimbera<br>El espejo<br>Predio test (cambiar Nombre)....;SUPERVISIÓN PODA;$ 0,00;0;18
83;CF001;PODA;Labor Agrícola;Camino Truncado, Puente Alto y La Chimbera<br>El espejo<br>Predio test (cambiar Nombre)....;PINTURA;$ 0,00;0;19
83;CF001;PODA;Labor Agrícola;Camino Truncado, Puente Alto y La Chimbera<br>El espejo<br>Predio test (cambiar Nombre)....; AMONTONAR SARMIENTO;$ 0,00;0;20
83;CF001;PODA;Labor Agrícola;Camino Truncado, Puente Alto y La Chimbera<br>El espejo<br>Predio test (cambiar Nombre)....; HACER MUGRONES;$ 0,00;0;21
83;CF001;PODA;Labor Agrícola;Camino Truncado, Puente Alto y La Chimbera<br>El espejo<br>Predio test (cambiar Nombre)....;  REPASE DE PODA;$ 0,00;0;22
83;CF001;PODA;Labor Agrícola;Camino Truncado, Puente Alto y La Chimbera<br>El espejo<br>Predio test (cambiar Nombre)....;  PODA SETO;$ 0,00;0;23
83;CF001;PODA;Labor Agrícola;Camino Truncado, Puente Alto y La Chimbera<br>El espejo<br>Predio test (cambiar Nombre)....;  PREPODA TRACTOR;$ 0,00;0;24
83;CF001;PODA;Labor Agrícola;Camino Truncado, Puente Alto y La Chimbera<br>El espejo<br>Predio test (cambiar Nombre)....;  PESO PODA;$ 0,00;0;25
83;CF001;PODA;Labor Agrícola;Camino Truncado, Puente Alto y La Chimbera<br>El espejo<br>Predio test (cambiar Nombre)....;PODA MUGRONES;$ 0,00;0;176
83;CF001;PODA;Labor Agrícola;Camino Truncado, Puente Alto y La Chimbera<br>El espejo<br>Predio test (cambiar Nombre)....;DESPUNTE DE GUIAS;$ 0,00;0;247
83;CF001;PODA;Labor Agrícola;Camino Truncado, Puente Alto y La Chimbera<br>El espejo<br>Predio test (cambiar Nombre)....;PODA DOV;$ 0,00;0;293
84;;INJERTO;Labor Agrícola;Camino Truncado, Puente Alto y La Chimbera<br>El espejo<br>Predio test (cambiar Nombre)....;PREPARACION DE PLANTA;$ 0,00;0;26
84;;INJERTO;Labor Agrícola;Camino Truncado, Puente Alto y La Chimbera<br>El espejo<br>Predio test (cambiar Nombre)....;RECOLECCION DE MATERIAL;$ 0,00;0;27
84;;INJERTO;Labor Agrícola;Camino Truncado, Puente Alto y La Chimbera<br>El espejo<br>Predio test (cambiar Nombre)....;INJERTO;$ 0,00;0;28
84;;INJERTO;Labor Agrícola;Camino Truncado, Puente Alto y La Chimbera<br>El espejo<br>Predio test (cambiar Nombre)....;REPASO INJERTO;$ 0,00;0;29
84;;INJERTO;Labor Agrícola;Camino Truncado, Puente Alto y La Chimbera<br>El espejo<br>Predio test (cambiar Nombre)....;CORTE DE CINTA;$ 0,00;0;30
84;;INJERTO;Labor Agrícola;Camino Truncado, Puente Alto y La Chimbera<br>El espejo<br>Predio test (cambiar Nombre)....;ARMADO DE PAQUETE;$ 0,00;0;294
85;CF002;ATADA;Labor Agrícola;Camino Truncado, Puente Alto y La Chimbera<br>El espejo<br>Predio test (cambiar Nombre)....;ATADA BARBECHO;$ 0,00;0;31
85;CF002;ATADA;Labor Agrícola;Camino Truncado, Puente Alto y La Chimbera<br>El espejo<br>Predio test (cambiar Nombre)....;ATADA;$ 0,00;0;32
85;CF002;ATADA;Labor Agrícola;Camino Truncado, Puente Alto y La Chimbera<br>El espejo<br>Predio test (cambiar Nombre)....;COLGAR PLANTA;$ 0,00;0;33
85;CF002;ATADA;Labor Agrícola;Camino Truncado, Puente Alto y La Chimbera<br>El espejo<br>Predio test (cambiar Nombre)....;SUPERVISIÓN ATADA;$ 0,00;0;141
85;CF002;ATADA;Labor Agrícola;Camino Truncado, Puente Alto y La Chimbera<br>El espejo<br>Predio test (cambiar Nombre)....;ATADO CUERPO CEPA;$ 0,00;0;183
85;CF002;ATADA;Labor Agrícola;Camino Truncado, Puente Alto y La Chimbera<br>El espejo<br>Predio test (cambiar Nombre)....;ATADA DE INJERTO 1;$ 0,00;0;208
85;CF002;ATADA;Labor Agrícola;Camino Truncado, Puente Alto y La Chimbera<br>El espejo<br>Predio test (cambiar Nombre)....;ATADA DE INJERTO 2;$ 0,00;0;209
85;CF002;ATADA;Labor Agrícola;Camino Truncado, Puente Alto y La Chimbera<br>El espejo<br>Predio test (cambiar Nombre)....;ATADA DE INJERTO 3;$ 0,00;0;210
86;CF003;APLICACIONES;Aplicación;Camino Truncado, Puente Alto y La Chimbera<br>El espejo<br>Predio test (cambiar Nombre)....<br>Secadero;FERTILIZACION;$ 0,00;0;34
86;CF003;APLICACIONES;Aplicación;Camino Truncado, Puente Alto y La Chimbera<br>El espejo<br>Predio test (cambiar Nombre)....<br>Secadero;HERBICIDA MOCHILA;$ 0,00;0;35
86;CF003;APLICACIONES;Aplicación;Camino Truncado, Puente Alto y La Chimbera<br>El espejo<br>Predio test (cambiar Nombre)....<br>Secadero;FITOSANITARIO;$ 0,00;0;36
86;CF003;APLICACIONES;Aplicación;Camino Truncado, Puente Alto y La Chimbera<br>El espejo<br>Predio test (cambiar Nombre)....<br>Secadero;HERBICIDA ATOMIZADORA;$ 0,00;0;37
86;CF003;APLICACIONES;Aplicación;Camino Truncado, Puente Alto y La Chimbera<br>El espejo<br>Predio test (cambiar Nombre)....<br>Secadero;FERTILIZANTE FOLIAR ATOMIZADORA;$ 0,00;0;38
86;CF003;APLICACIONES;Aplicación;Camino Truncado, Puente Alto y La Chimbera<br>El espejo<br>Predio test (cambiar Nombre)....<br>Secadero; ENMIENDAS AL SUELO;$ 0,00;0;39
86;CF003;APLICACIONES;Aplicación;Camino Truncado, Puente Alto y La Chimbera<br>El espejo<br>Predio test (cambiar Nombre)....<br>Secadero;  DESMANCHE;$ 0,00;0;40
86;CF003;APLICACIONES;Aplicación;Camino Truncado, Puente Alto y La Chimbera<br>El espejo<br>Predio test (cambiar Nombre)....<br>Secadero;DOSIFICADOR;$ 0,00;0;41
