Finca;Predio;Cuartel;Variedad;Has;Año;Ciclo;Kg;Estado;Referencia
Camino Truncado, Puente Alto y La Chimbera;Camino Truncado;8;Arizul;2,37;2013;2012-2013;46.930;Uva;Camino Truncado 8 2013
Camino Truncado, Puente Alto y La Chimbera;Camino Truncado;8;Arizul;2,37;2014;2013-2014;24.110;Uva;Camino Truncado 8 2014
Camino Truncado, Puente Alto y La Chimbera;Camino Truncado;8;Arizul;2,37;2015;2014-2015;45.950;Uva;Camino Truncado 8 2015
Camino Truncado, Puente Alto y La Chimbera;Camino Truncado;8;Arizul;2,37;2016;2015-2016;37.500;Uva;Camino Truncado 8 2016
Camino Truncado, Puente Alto y La Chimbera;Camino Truncado;8;Arizul;2,37;2017;2016-2017;27.436;Uva;Camino Truncado 8 2017
Camino Truncado, Puente Alto y La Chimbera;Camino Truncado;8;Arizul;2,37;2018;2017-2018;39.059;Uva;Camino Truncado 8 2018
Camino Truncado, Puente Alto y La Chimbera;Camino Truncado;8;Arizul;2,37;2019;2018-2019;103.028;Uva;Camino Truncado 8 2019
Camino Truncado, Puente Alto y La Chimbera;Camino Truncado;8;Arizul;2,37;2020;2019-2020;42.500;Uva;Camino Truncado 8 2020
Camino Truncado, Puente Alto y La Chimbera;Camino Truncado;8;Arizul;2,37;2021;2020-2021;113.917;Uva;Camino Truncado 8 2021
Camino Truncado, Puente Alto y La Chimbera;Camino Truncado;8;Arizul;2,37;2022;2021-2022;15.373;Uva;Camino Truncado 8 2022
Camino Truncado, Puente Alto y La Chimbera;Camino Truncado;8;Arizul;2,37;2023;2022-2023;32.280;Uva;Camino Truncado 8 2023
Camino Truncado, Puente Alto y La Chimbera;Camino Truncado;8;Arizul;2,37;2024;2023-2024;42.190;Uva;Camino Truncado 8 2024
Camino Truncado, Puente Alto y La Chimbera;Camino Truncado;2;Flame;4,08;2025;2024-2025;100.935;Uva;Camino Truncado 2 2025
Camino Truncado, Puente Alto y La Chimbera;Camino Truncado;12;Arizul;2,54;2013;2012-2013;45.360;Uva;Camino Truncado 12 2013
Camino Truncado, Puente Alto y La Chimbera;Camino Truncado;12;Arizul;2,54;2014;2013-2014;66.950;Uva;Camino Truncado 12 2014
Camino Truncado, Puente Alto y La Chimbera;Camino Truncado;12;Arizul;2,54;2015;2014-2015;38.900;Uva;Camino Truncado 12 2015
Camino Truncado, Puente Alto y La Chimbera;Camino Truncado;12;Arizul;2,54;2016;2015-2016;64.710;Uva;Camino Truncado 12 2016
Camino Truncado, Puente Alto y La Chimbera;Camino Truncado;12;Arizul;2,54;2017;2016-2017;64.800;Uva;Camino Truncado 12 2017
Camino Truncado, Puente Alto y La Chimbera;Camino Truncado;12;Arizul;2,54;2018;2017-2018;129.224;Uva;Camino Truncado 12 2018
Camino Truncado, Puente Alto y La Chimbera;Camino Truncado;12;Arizul;2,54;2019;2018-2019;51.445;Uva;Camino Truncado 12 2019
Camino Truncado, Puente Alto y La Chimbera;Camino Truncado;12;Arizul;2,54;2020;2019-2020;83.598;Uva;Camino Truncado 12 2020
Camino Truncado, Puente Alto y La Chimbera;Camino Truncado;12;Arizul;2,54;2021;2020-2021;92.290;Uva;Camino Truncado 12 2021
Camino Truncado, Puente Alto y La Chimbera;Camino Truncado;12;Arizul;2,54;2022;2021-2022;37.365;Uva;Camino Truncado 12 2022
Camino Truncado, Puente Alto y La Chimbera;Camino Truncado;12;Arizul;2,54;2023;2022-2023;68.500;Uva;Camino Truncado 12 2023
Camino Truncado, Puente Alto y La Chimbera;Camino Truncado;12;Arizul;2,54;2024;2023-2024;94.410;Uva;Camino Truncado 12 2024
Camino Truncado, Puente Alto y La Chimbera;Camino Truncado;2;Flame;4,08;2025;2024-2025;26.539;Pasa;Camino Truncado 2 2025
Camino Truncado, Puente Alto y La Chimbera;Camino Truncado;13;Arizul;1,73;2013;2012-2013;43.350;Uva;Camino Truncado 13 2013
Camino Truncado, Puente Alto y La Chimbera;Camino Truncado;13;Arizul;1,73;2014;2013-2014;69.965;Uva;Camino Truncado 13 2014
Camino Truncado, Puente Alto y La Chimbera;Camino Truncado;13;Arizul;1,73;2015;2014-2015;22.920;Uva;Camino Truncado 13 2015
Camino Truncado, Puente Alto y La Chimbera;Camino Truncado;13;Arizul;1,73;2016;2015-2016;39.780;Uva;Camino Truncado 13 2016
Camino Truncado, Puente Alto y La Chimbera;Camino Truncado;13;Arizul;1,73;2017;2016-2017;63.021;Uva;Camino Truncado 13 2017
Camino Truncado, Puente Alto y La Chimbera;Camino Truncado;13;Arizul;1,73;2018;2017-2018;89.620;Uva;Camino Truncado 13 2018
Camino Truncado, Puente Alto y La Chimbera;Camino Truncado;13;Arizul;1,73;2019;2018-2019;63.640;Uva;Camino Truncado 13 2019
Camino Truncado, Puente Alto y La Chimbera;Camino Truncado;13;Arizul;1,73;2020;2019-2020;30.930;Uva;Camino Truncado 13 2020
Camino Truncado, Puente Alto y La Chimbera;Camino Truncado;13;Arizul;1,73;2021;2020-2021;68.695;Uva;Camino Truncado 13 2021
Camino Truncado, Puente Alto y La Chimbera;Camino Truncado;13;Arizul;1,73;2022;2021-2022;55.280;Uva;Camino Truncado 13 2022
Camino Truncado, Puente Alto y La Chimbera;Camino Truncado;13;Arizul;1,73;2023;2022-2023;36.460;Uva;Camino Truncado 13 2023
Camino Truncado, Puente Alto y La Chimbera;Camino Truncado;13;Arizul;1,73;2024;2023-2024;54.760;Uva;Camino Truncado 13 2024
Camino Truncado, Puente Alto y La Chimbera;Camino Truncado;4;Flame;3,03;2025;2024-2025;85.215;Uva;Camino Truncado 4 2025
Camino Truncado, Puente Alto y La Chimbera;Camino Truncado;15;Arizul;3,44;2013;2012-2013;110.650;Uva;Camino Truncado 15 2013
Camino Truncado, Puente Alto y La Chimbera;Camino Truncado;15;Arizul;3,44;2014;2013-2014;129.940;Uva;Camino Truncado 15 2014
Camino Truncado, Puente Alto y La Chimbera;Camino Truncado;15;Arizul;3,44;2015;2014-2015;63.030;Uva;Camino Truncado 15 2015
Camino Truncado, Puente Alto y La Chimbera;Camino Truncado;15;Arizul;3,44;2017;2016-2017;147.505;Uva;Camino Truncado 15 2017
Camino Truncado, Puente Alto y La Chimbera;Camino Truncado;15;Arizul;3,44;2018;2017-2018;146.024;Uva;Camino Truncado 15 2018
Camino Truncado, Puente Alto y La Chimbera;Camino Truncado;15;Arizul;3,44;2019;2018-2019;123.144;Uva;Camino Truncado 15 2019
Camino Truncado, Puente Alto y La Chimbera;Camino Truncado;15;Arizul;3,44;2020;2019-2020;63.438;Uva;Camino Truncado 15 2020
Camino Truncado, Puente Alto y La Chimbera;Camino Truncado;15;Arizul;3,44;2021;2020-2021;101.659;Uva;Camino Truncado 15 2021
Camino Truncado, Puente Alto y La Chimbera;Camino Truncado;15;Arizul;3,44;2022;2021-2022;84.725;Uva;Camino Truncado 15 2022
Camino Truncado, Puente Alto y La Chimbera;Camino Truncado;15;Arizul;3,44;2023;2022-2023;43.840;Uva;Camino Truncado 15 2023
Camino Truncado, Puente Alto y La Chimbera;Camino Truncado;15;Arizul;3,44;2024;2023-2024;119.045;Uva;Camino Truncado 15 2024
Camino Truncado, Puente Alto y La Chimbera;Camino Truncado;4;Flame;3,03;2025;2024-2025;26.047;Pasa;Camino Truncado 4 2025
Camino Truncado, Puente Alto y La Chimbera;Camino Truncado;17;Arizul;3,25;2013;2012-2013;60.200;Uva;Camino Truncado 17 2013
Camino Truncado, Puente Alto y La Chimbera;Camino Truncado;17;Arizul;3,25;2014;2013-2014;52.270;Uva;Camino Truncado 17 2014
Camino Truncado, Puente Alto y La Chimbera;Camino Truncado;17;Arizul;3,25;2015;2014-2015;72.680;Uva;Camino Truncado 17 2015
Camino Truncado, Puente Alto y La Chimbera;Camino Truncado;17;Arizul;3,25;2016;2015-2016;54.410;Uva;Camino Truncado 17 2016
Camino Truncado, Puente Alto y La Chimbera;Camino Truncado;17;Arizul;3,25;2017;2016-2017;68.427;Uva;Camino Truncado 17 2017
Camino Truncado, Puente Alto y La Chimbera;Camino Truncado;17;Arizul;3,25;2018;2017-2018;105.898;Uva;Camino Truncado 17 2018
Camino Truncado, Puente Alto y La Chimbera;Camino Truncado;17;Arizul;3,25;2019;2018-2019;92.589;Uva;Camino Truncado 17 2019
Camino Truncado, Puente Alto y La Chimbera;Camino Truncado;17;Arizul;3,25;2020;2019-2020;70.732;Uva;Camino Truncado 17 2020
Camino Truncado, Puente Alto y La Chimbera;Camino Truncado;17;Arizul;3,25;2021;2020-2021;50.263;Uva;Camino Truncado 17 2021
Camino Truncado, Puente Alto y La Chimbera;Camino Truncado;17;Arizul;3,25;2022;2021-2022;73.695;Uva;Camino Truncado 17 2022
Camino Truncado, Puente Alto y La Chimbera;Camino Truncado;17;Arizul;3,25;2023;2022-2023;34.180;Uva;Camino Truncado 17 2023
Camino Truncado, Puente Alto y La Chimbera;Camino Truncado;17;Arizul;3,25;2024;2023-2024;74.642;Uva;Camino Truncado 17 2024
Camino Truncado, Puente Alto y La Chimbera;Camino Truncado;5;Flame;4,21;2025;2024-2025;94.170;Uva;Camino Truncado 5 2025
Camino Truncado, Puente Alto y La Chimbera;Camino Truncado;18;Arizul;2,05;2017;2016-2017;11.760;Uva;Camino Truncado 18 2017
Camino Truncado, Puente Alto y La Chimbera;Camino Truncado;18;Arizul;2,05;2018;2017-2018;39.049;Uva;Camino Truncado 18 2018
Camino Truncado, Puente Alto y La Chimbera;Camino Truncado;18;Arizul;2,05;2019;2018-2019;59.660;Uva;Camino Truncado 18 2019
Camino Truncado, Puente Alto y La Chimbera;Camino Truncado;18;Arizul;2,05;2020;2019-2020;54.642;Uva;Camino Truncado 18 2020
Camino Truncado, Puente Alto y La Chimbera;Camino Truncado;18;Arizul;2,05;2021;2020-2021;98.840;Uva;Camino Truncado 18 2021
Camino Truncado, Puente Alto y La Chimbera;Camino Truncado;18;Arizul;2,05;2022;2021-2022;15.568;Uva;Camino Truncado 18 2022
Camino Truncado, Puente Alto y La Chimbera;Camino Truncado;18;Arizul;2,05;2023;2022-2023;51.620;Uva;Camino Truncado 18 2023
Camino Truncado, Puente Alto y La Chimbera;Camino Truncado;18;Arizul;2,05;2024;2023-2024;81.855;Uva;Camino Truncado 18 2024
Camino Truncado, Puente Alto y La Chimbera;Camino Truncado;5;Flame;4,21;2025;2024-2025;28.473;Pasa;Camino Truncado 5 2025
Camino Truncado, Puente Alto y La Chimbera;Camino Truncado;19;Arizul;1,298;2017;2016-2017;1.940;Uva;Camino Truncado 19 2017
