Playa;Has;Capacidad de KG tendido
Playa 001;0,27;22.947
Playa 002;0,37;31.445
Playa 003;0,29;24.646
Playa 004;0,24;20.397
Playa 005;0,27;22.947
Playa 006;0,04;3.400
Playa 007;0,32;27.196
Playa 008;0,41;34.845
Playa 009;0,43;36.545
Playa 010;0,4;33.995
Playa 011;0,44;37.395
Playa 012;0,52;44.194
Playa 013;0,54;45.893
Playa 014;0,53;45.043
Playa 015;0,24;20.397
Playa 016;0,15;12.748
Playa 017;0,37;31.445
Playa 018;0,39;33.145
Playa 019;0,37;31.445
Playa 020;0,35;29.746
Playa 021;0,4;33.995
Playa 022;0,39;33.145
Playa 023;0,17;14.448
Playa 024;0,2;16.998
Playa 025;0,16;13.598
Playa 026;0,38;32.295
Playa 027;0,34;28.896
Playa 028;0,24;20.397
Playa 029;0,15;12.748
Playa 030;0,19;16.148
Playa 031;0,2;16.998
Playa 032;0,43;36.545
Playa 033;0,35;29.746
Playa 034;0,28;23.797
Playa 035;0,23;19.547
Playa 036;0,17;14.448
Playa 037;0,11;9.349
Playa 038;0,06;5.099
Playa 039;0,18;15.298
Playa 040;0,15;12.748
Playa 041;0,09;7.649
Playa 042;0,08;6.799
Sector 001;1,38;117.283
Sector 002;1,07;90.937
Sector 003;1,08;91.787
Sector 004;0,87;73.939
Sector 005;0,41;34.845
Sector 006;0,82;69.690
Sector 007;0,8;67.990
Sector 008;0,34;28.896
Sector 009;1,24;105.385
Sector 010;0,37;31.445
Sector 011;1,03;87.537
Sector 012;0,01075;914
Sector 013;0,78;66.290
Sector 014;0,31;26.346
Sector 015;0,41;34.845
Sector 016;0,39;33.145
Sector 017;0,67;56.942
Sector 030;0,61;51.842
Sector 031;1,02;86.687
Sector 032;1,04;88.387
Sector 033;0,18;15.298
PLAYA 001 LCH;0,24;20.397
PLAYA 002 LCH;0,25;21.247
PLAYA 003 LCH;0,26;22.097
PLAYA 004 LCH;0,25;21.247
PLAYA 005 LCH;0,26;22.097
PLAYA 006 LCH;0,27;22.947
PLAYA 007 LCH;0,28;23.797
PLAYA 008 LCH;0,26;22.097
PLAYA 009 LCH;0,27;22.947
PLAYA 010 LCH;0,31;26.346
PLAYA 011 LCH;0,26;22.097
PLAYA 012 LCH;0,24;20.397
PLAYA 013 LCH;0,28;23.797
PLAYA 014 LCH;0,28;23.797
