Finca;Cuartel;Has;Variedad;Kg Uva;Kg Pasa;Fecha Inicio Cosecha estimada;Dia referencial;Mes Referencial;Fecha estimada de Levantado;Semana;Semana Lev;Estado;Modo Cos.;Kg Real;Pasa Estimación;Sep.;Días de secado
Puente Alto;1;5,13;Selma;101694,6;25423,65;14/1/2026;miércoles;enero;21/1/2026;3;4;Terminado;Convencional;;;Propios;
Puente Alto;2;5,13;Flame;131657;32914,25;26/1/2026;lunes;enero;2/2/2026;5;6;Terminado;Convencional;;;Propios;
Puente Alto;3;5,11;Flame;165984;41496;2/2/2026;lunes;febrero;4/3/2026;6;10;;Convencional;;;Propios;
Puente Alto;4;4,44;Flame;144144;36036;23/2/2026;lunes;febrero;25/3/2026;9;13;;Convencional;;;Propios;
Puente Alto;5;2,32;Arizul;50337;12584,25;2/3/2026;lunes;marzo;1/4/2026;10;14;;Convencional;;;Propios;
Puente Alto;6;3,5;Arizul;69457,5;17364,375;2/3/2026;lunes;marzo;1/4/2026;10;14;;Convencional;;;Propios;
Puente Alto;7;1,15;Selma;26880;6720;14/1/2026;miércoles;enero;21/1/2026;3;4;Terminado;Convencional;;;Propios;
Camino Truncado;2;4,08;Flame;100000;25000;2/2/2026;lunes;febrero;4/3/2026;6;10;;Convencional;;;Propios;
Camino Truncado;4;3;Flame;108707,2;27176,8;2/2/2026;lunes;febrero;4/3/2026;6;10;;Convencional;;;Propios;
Camino Truncado;5;4,21;Flame;142697,2;35674,3;6/2/2026;viernes;febrero;8/3/2026;6;11;;Convencional;;;Propios;
Camino Truncado;8;2,4;Arizul;35265,6;8816,4;2/3/2026;lunes;marzo;1/4/2026;10;14;;Convencional;;;Propios;
Camino Truncado;9;2,7;Sultanina;42005,6;10501,4;12/1/2026;lunes;enero;19/1/2026;3;4;Terminado;Convencional;;;Propios;
Camino Truncado;10;1,9;Fiesta;85500;21375;19/1/2026;lunes;enero;26/1/2026;4;5;Terminado;Convencional;;;Propios;
Camino Truncado;11;2,58;Fiesta;87444,8;21861,2;19/1/2026;lunes;enero;26/1/2026;4;5;Terminado;Convencional;;;Propios;
