Predio;I.D. Faena;Nå¡ Orden;Cultivo;Variedad;Fecha;E. Fenologico;Codigo Producto;Nombre Producto;Ing Activo;Nå¡ AutorizaciÌ?n SAG;Tratamiento;Cantidad;U. Med.;Moja. Lts x Ha;Tipo Dosis;Dosis;Ha. Aplica;T.Cantidad Ha. Aplica;R.Aplica Calculado;Real Aplicado;Cobertura;Nå¡ Aplica Periodo.;Nå¼ aplica etiqueta;Clasifica;Cod Cuartel;Cuartel / Potrero;Total Ha.;Fecha Inicio Aplica;Hr. Inicio;Fecha Term. Aplica;Hr. TÌ©rmino;Hr. Reingre;Carencia;Dias Carencias PPPL;Plazo Seguridad;ConcentraciÌ?n;Adjunto Productos;Estado;Faena;Labor;Clima;Viento;Temp.;Responsable (Aplicaciones);Dosificador (Aplicaciones);Verificador TÌ©cnico (Aplicaciones);Aplicador;Aplicador 2;Observaciones;Usuario Login;Total Producto;Maquinarias;Total Maqui;Maq Cod/GPS;Tot.Maq c/GPS;Tot Orden Aplica;Cantidad Periodo;tipo;has totales;unidades n;unidades p;unidades k;monto en usd
Camino Truncado, Puente Alto y La Chimbera;;;;;1/9/2025;;;Nutri 1075M;;;;20.463,00;Litros;;;;;;;;;;;Camino Truncado;;;9,9;;;;;;;;;;;Presupuesto;APLICACIONES;FERTILIZACION;;;;;;;;;;;;;;;;;;presupuestado-pre;9,9;100;61;239;USD 7.571,00
Camino Truncado, Puente Alto y La Chimbera;;;;;1/9/2025;;;NUTRI 1683 M;;;;44.330,00;Litros;;;;;;;;;;;Camino Truncado;;;57;;;;;;;;;;;Presupuesto;APLICACIONES;FERTILIZACION;;;;;;;;;;;;;;;;;;presupuestado-pre;31;80;41;180;USD 17.288,00
Camino Truncado, Puente Alto y La Chimbera;;;;;1/9/2025;;;Nutri 1075M;;;;83.300,00;Litros;;;;;;;;;;;La Chimbera;;;40,3;;;;;;;;;;;Presupuesto;APLICACIONES;FERTILIZACION;;;;;;;;;;;;;;;;;;presupuestado-pre;40,3;100;61;239;USD 30.821,00
Camino Truncado, Puente Alto y La Chimbera;;;;SELMA;1/9/2025;;;NUTRI 1684 M;;;;7.103,00;Litros;;;;;;;;;;;Puente Alto;;;6,28;;;;;;;;;;;Presupuesto;APLICACIONES;FERTILIZACION;;;;;;;;;;;;;;;;;;presupuestado-pre;6,28;70;30;140;USD 2.770,00
Camino Truncado, Puente Alto y La Chimbera;;;;FLAME;1/9/2025;;;NUTRI 1683 M;;;;7.336,00;Litros;;;;;;;;;;;Puente Alto;;;5,13;;;;;;;;;;;Presupuesto;APLICACIONES;FERTILIZACION;;;;;;;;;;;;;;;;;;presupuestado-pre;5,13;80;41;180;USD 2.861,00
Camino Truncado, Puente Alto y La Chimbera;;;;FLAME;1/9/2025;;;Nutri 1075M;;;;19.720,00;Litros;;;;;;;;;;;Puente Alto;;;9,54;;;;;;;;;;;Presupuesto;APLICACIONES;FERTILIZACION;;;;;;;;;;;;;;;;;;presupuestado-pre;9,66;100;61;239;USD 7.296,00
Camino Truncado, Puente Alto y La Chimbera;;;;ARIZUL;1/9/2025;;;NUTRI 1683 M;;;;8.323,00;Litros;;;;;;;;;;;Puente Alto;;;5,82;;;;;;;;;;;Presupuesto;APLICACIONES;FERTILIZACION;;;;;;;;;;;;;;;;;;presupuestado-pre;5,82;80;41;180;USD 3.246,00
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Camino Truncado, Puente Alto y La Chimbera;;;;FIESTA;5/3/2026;;;BIO-CRECIMIENTO;;;;4.128,10;Litros;;;;;;;;;;;Camino Truncado;;;9,9;;;;;;;;;;;Presupuesto;APLICACION;FERTILIZACION;;;;;;;;;;;;;;;;;;presupuestado-pos;9,9;100;;;
