FINCA;ITEMS;UNIFICACION;USD;Año;Has;Valor inicial;Fincas;% de mod;USD Final
01 - LA CHIMBERA;COMBUSTIBLE Y MANTENIMIENTO;Combustible y Lubricantes;1.213;2020;40,5;0;Fincas Viejas;0,138932752;1.213
01 - LA CHIMBERA;ADMINISTRACION;Administracion San Juan;8.349;2020;40,5;44560;Fincas Viejas;0,292780844;13.046
01 - LA CHIMBERA;Energia Fincas;Energia Fincas;21.844;2020;40,5;0;Fincas Viejas;0,767424566;21.844
01 - LA CHIMBERA;COMBUSTIBLE Y MANTENIMIENTO;Insumos menores;1.043;2020;40,5;0;Fincas Viejas;0,166266006;1.043
01 - LA CHIMBERA;COMBUSTIBLE Y MANTENIMIENTO;Reparaciones Repuestos;11.317;2020;40,5;0;Fincas Viejas;0,20844963;11.317
01 - LA CHIMBERA;PERSONAL FINCA;Contratados;6.976;2020;40,5;0;Fincas Viejas;0,147290514;6.976
01 - LA CHIMBERA;PERSONAL FINCA;Permanentes;26.575;2020;40,5;0;Fincas Viejas;0,330645493;26.575
01 - LA CHIMBERA;PERSONAL FINCA;Cargas Sociales;6.931;2020;40,5;0;Fincas Viejas;0,362722469;6.931
01 - LA CHIMBERA;PERSONAL FINCA;Encargados;5.882;2020;40,5;0;Fincas Viejas;0,29759495;5.882
01 - LA CHIMBERA;PERSONAL FINCA;Direccion Tecnica;3.130;2020;40,5;0;Fincas Viejas;0,28;3.130
01 - LA CHIMBERA;SECADO;Jornales Secado;3.193;2020;40,5;0;Fincas Viejas;0,151935887;3.193
02 - CAMINO TRUNCADO;COMBUSTIBLE Y MANTENIMIENTO;Combustible y Lubricantes;6.375;2020;78,5538;0;Fincas Viejas;0,729986143;6.375
02 - CAMINO TRUNCADO;ADMINISTRACION;Administracion San Juan;14.821;2020;78,5538;44560;Fincas Viejas;0,519770096;23.161
02 - CAMINO TRUNCADO;Energia Fincas;Energia Fincas;4.532;2020;78,5538;0;Fincas Viejas;0,159211791;4.532
02 - CAMINO TRUNCADO;COMBUSTIBLE Y MANTENIMIENTO;Insumos menores;4.298;2020;78,5538;0;Fincas Viejas;0,685397466;4.298
02 - CAMINO TRUNCADO;COMBUSTIBLE Y MANTENIMIENTO;Reparaciones Repuestos;34.185;2020;78,5538;0;Fincas Viejas;0,629678598;34.185
02 - CAMINO TRUNCADO;PERSONAL FINCA;Contratados;37.054;2020;78,5538;0;Fincas Viejas;0,782364169;37.054
02 - CAMINO TRUNCADO;PERSONAL FINCA;Permanentes;33.314;2020;78,5538;0;Fincas Viejas;0,414479365;33.314
02 - CAMINO TRUNCADO;PERSONAL FINCA;Cargas Sociales;7.137;2020;78,5538;0;Fincas Viejas;0,373543519;7.137
02 - CAMINO TRUNCADO;PERSONAL FINCA;Encargados;7.402;2020;78,5538;0;Fincas Viejas;0,374479247;7.402
02 - CAMINO TRUNCADO;PERSONAL FINCA;Direccion Tecnica;6.037;2020;78,5538;0;Fincas Viejas;0,54;6.037
02 - CAMINO TRUNCADO;SECADO;Jornales Secado;15.830;2020;78,5538;0;Fincas Viejas;0,753318137;15.830
02 - CAMINO TRUNCADO;SECADO;Combustible Secado;1.143;2020;78,5538;0;Fincas Viejas;0,59980308;1.143
03 - PUENTE ALTO;COMBUSTIBLE Y MANTENIMIENTO;Combustible y Lubricantes;1.145;2020;26,18;0;Fincas Viejas;0,131081106;1.145
03 - PUENTE ALTO;ADMINISTRACION;Administracion San Juan;5.345;2020;26,18;44560;Fincas Viejas;0,18744906;8.353
03 - PUENTE ALTO;Energia Fincas;Energia Fincas;2.088;2020;26,18;0;Fincas Viejas;0,073363642;2.088
03 - PUENTE ALTO;COMBUSTIBLE Y MANTENIMIENTO;Insumos menores;930;2020;26,18;0;Fincas Viejas;0,148336528;930
03 - PUENTE ALTO;COMBUSTIBLE Y MANTENIMIENTO;Reparaciones Repuestos;8.788;2020;26,18;0;Fincas Viejas;0,161871773;8.788
