FINCA;ITEMS;UNIFICACION;USD;Año;Has;Valor inicial;Fincas;% de mod;USD Final
01 - LA CHIMBERA;ADMINISTRACION;Administración Rosario;21973;2026;40,5;;Fincas Viejas;;21973
01 - LA CHIMBERA;ADMINISTRACION;Administración San Juan;10896;2026;40,5;;Fincas Viejas;;10896
01 - LA CHIMBERA;COMBUSTIBLE Y MANTENIMIENTO;Bins;302;2026;40,5;;Fincas Viejas;;302
01 - LA CHIMBERA;COMBUSTIBLE Y MANTENIMIENTO;Combustible y Lubricantes;4177;2026;40,5;;Fincas Viejas;;4177
01 - LA CHIMBERA;COMBUSTIBLE Y MANTENIMIENTO;Fletes Varios;827;2026;40,5;;Fincas Viejas;;827
01 - LA CHIMBERA;COMBUSTIBLE Y MANTENIMIENTO;Insumos menores;5457;2026;40,5;;Fincas Viejas;;5457
01 - LA CHIMBERA;COMBUSTIBLE Y MANTENIMIENTO;Reparaciones Repuestos;7522;2026;40,5;;Fincas Viejas;;7522
01 - LA CHIMBERA;COSECHA;Combustible Cosecha;425;2026;40,5;;Fincas Viejas;;425
01 - LA CHIMBERA;COSECHA;Cosecha;7995;2026;40,5;;Fincas Viejas;;7995
01 - LA CHIMBERA;COSECHA;Flete Cosecha;133;2026;40,5;;Fincas Viejas;;133
01 - LA CHIMBERA;ENERGIA FINCAS;Energia Fincas;4307;2026;40,5;;Fincas Viejas;;4307
01 - LA CHIMBERA;FERTILIZANTES;Inorgánicos;;2026;40,5;;Fincas Viejas;;
01 - LA CHIMBERA;FITOSANITARIOS;Coadyuvantes;127;2026;40,5;;Fincas Viejas;;127
01 - LA CHIMBERA;FITOSANITARIOS;Foliares;5504;2026;40,5;;Fincas Viejas;;5504
01 - LA CHIMBERA;FITOSANITARIOS;Fungicidas;1562;2026;40,5;;Fincas Viejas;;1562
01 - LA CHIMBERA;FITOSANITARIOS;Herbicidas;972;2026;40,5;;Fincas Viejas;;972
01 - LA CHIMBERA;FITOSANITARIOS;Hormonas;1897;2026;40,5;;Fincas Viejas;;1897
01 - LA CHIMBERA;INVERSIONES;Inversiones;64837;2026;40,5;;Fincas Viejas;;64837
01 - LA CHIMBERA;PERSONAL FINCA;Cargas Sociales;5670;2026;40,5;;Fincas Viejas;;5670
01 - LA CHIMBERA;PERSONAL FINCA;Contratados;24885;2026;40,5;;Fincas Viejas;;24885
01 - LA CHIMBERA;PERSONAL FINCA;Dirección Técnica;4194;2026;40,5;;Fincas Viejas;;4194
01 - LA CHIMBERA;PERSONAL FINCA;Encargados;5833;2026;40,5;;Fincas Viejas;;5833
01 - LA CHIMBERA;PERSONAL FINCA;Permanentes;18801;2026;40,5;;Fincas Viejas;;18801
01 - LA CHIMBERA;SECADO;Combustible Secado;1035;2026;40,5;;Fincas Viejas;;1035
01 - LA CHIMBERA;SECADO;Jornales Secado;5389;2026;40,5;;Fincas Viejas;;5389
02 - CAMINO TRUNCADO;ADMINISTRACION;Administración Rosario;31772;2026;66,04;;Fincas Viejas;;31772
02 - CAMINO TRUNCADO;ADMINISTRACION;Administración San Juan;18425;2026;66,04;;Fincas Viejas;;18425
02 - CAMINO TRUNCADO;COMBUSTIBLE Y MANTENIMIENTO;Bins;842;2026;66,04;;Fincas Viejas;;842
02 - CAMINO TRUNCADO;COMBUSTIBLE Y MANTENIMIENTO;Combustible y Lubricantes;7311;2026;66,04;;Fincas Viejas;;7311
02 - CAMINO TRUNCADO;COMBUSTIBLE Y MANTENIMIENTO;Fletes Varios;2079;2026;66,04;;Fincas Viejas;;2079
02 - CAMINO TRUNCADO;COMBUSTIBLE Y MANTENIMIENTO;Insumos menores;8977;2026;66,04;;Fincas Viejas;;8977
02 - CAMINO TRUNCADO;COMBUSTIBLE Y MANTENIMIENTO;Reparaciones Repuestos;21606;2026;66,04;;Fincas Viejas;;21606
02 - CAMINO TRUNCADO;COSECHA;Combustible Cosecha;510;2026;66,04;;Fincas Viejas;;510
02 - CAMINO TRUNCADO;COSECHA;Cosecha;7378;2026;66,04;;Fincas Viejas;;7378
02 - CAMINO TRUNCADO;COSECHA;Flete Cosecha;228;2026;66,04;;Fincas Viejas;;228
02 - CAMINO TRUNCADO;ENERGIA FINCAS;Energia Fincas;10612;2026;66,04;;Fincas Viejas;;10612
02 - CAMINO TRUNCADO;FERTILIZANTES;Inorgánicos;;2026;66,04;;Fincas Viejas;;
02 - CAMINO TRUNCADO;FITOSANITARIOS;Coadyuvantes;207;2026;66,04;;Fincas Viejas;;207
02 - CAMINO TRUNCADO;FITOSANITARIOS;Foliares;8944;2026;66,04;;Fincas Viejas;;8944
02 - CAMINO TRUNCADO;FITOSANITARIOS;Fungicidas;2539;2026;66,04;;Fincas Viejas;;2539
02 - CAMINO TRUNCADO;FITOSANITARIOS;Herbicidas;1579;2026;66,04;;Fincas Viejas;;1579
02 - CAMINO TRUNCADO;FITOSANITARIOS;Hormonas;3082;2026;66,04;;Fincas Viejas;;3082
02 - CAMINO TRUNCADO;INVERSIONES;Inversiones;72766;2026;66,04;;Fincas Viejas;;72766
